task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
Animales,properties,target,knnc,,bca,"0.71865, (0.59904, 0.81565)","0.65909, (0.55000, 0.74697)","0.52830, (0.38660, 0.67855)","0.38182, (0.25786, 0.54100)","0.85714, (0.61660, 0.96531)","0.68182, (0.44553, 0.85702)","1.00287, (0.85265, 1.22118)"
Animales,properties,target,lr,,bca,"0.76051, (0.64828, 0.83944)","0.72727, (0.64309, 0.79848)","0.71698, (0.60490, 0.79996)","0.69091, (0.54283, 0.79299)","0.74510, (0.58573, 0.86013)","0.54545, (0.34707, 0.69681)","1.16747, (0.84979, 1.60951)"
Animales,properties,target,svc,,bca,"0.50000, (nan, nan)","0.50000, (0.39394, 0.62121)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00405)"
Animales,properties,target,xgb,,bca,"0.84568, (0.73461, 0.91160)","0.75758, (0.66504, 0.82424)","0.74763, (0.63758, 0.82582)","0.71818, (0.58832, 0.81196)","0.77961, (0.62923, 0.88313)","0.48485, (0.32111, 0.63811)","0.79873, (0.56520, 1.18878)"
Animales,properties__timing,target,knnc,,bca,"0.78386, (0.66802, 0.86380)","0.68333, (0.56893, 0.77727)","0.57434, (0.41553, 0.71205)","0.42727, (0.28428, 0.58522)","0.87578, (0.65228, 0.98344)","0.63333, (0.40152, 0.84343)","0.91699, (0.77056, 1.11339)"
Animales,properties__timing,target,lr,,bca,"0.74135, (0.64592, 0.81502)","0.71667, (0.62587, 0.79435)","0.69593, (0.58232, 0.79121)","0.64848, (0.51025, 0.77326)","0.75088, (0.59183, 0.86415)","0.56667, (0.35650, 0.73926)","1.17967, (0.99515, 1.39456)"
Animales,properties__timing,target,svc,,bca,"0.50000, (nan, nan)","0.50000, (0.39394, 0.62121)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00405)"
Animales,properties__timing,target,xgb,,bca,"0.81662, (0.70372, 0.88627)","0.75000, (0.65877, 0.81515)","0.73934, (0.62598, 0.81791)","0.70909, (0.57500, 0.81274)","0.77228, (0.61015, 0.87191)","0.50000, (0.34455, 0.65525)","0.90139, (0.65450, 1.30449)"
Animales,timing,target,knnc,,bca,"0.70135, (0.59295, 0.78665)","0.62576, (0.52091, 0.71970)","0.54344, (0.41195, 0.65977)","0.44545, (0.32648, 0.58453)","0.69668, (0.50000, 0.83992)","0.74848, (0.52688, 0.90793)","1.07162, (0.94716, 1.24822)"
Animales,timing,target,lr,,bca,"0.69805, (0.58101, 0.79289)","0.66364, (0.55909, 0.76061)","0.65741, (0.53256, 0.75985)","0.64545, (0.50775, 0.76766)","0.66981, (0.50460, 0.81429)","0.67273, (0.43724, 0.88076)","1.07831, (0.95036, 1.28209)"
Animales,timing,target,svc,,bca,"0.51249, (0.48196, 0.54093)","0.51061, (0.40303, 0.61818)","0.10028, (0.06350, 0.14271)","0.05455, (0.03424, 0.07999)","0.62069, (0.38080, 0.80000)","0.97879, (0.93568, 1.08165)","0.99228, (0.97380, 1.00747)"
Animales,timing,target,xgb,,bca,"0.67375, (0.55404, 0.77068)","0.64848, (0.55455, 0.73075)","0.64526, (0.52223, 0.73951)","0.63939, (0.50554, 0.74450)","0.65123, (0.48233, 0.77854)","0.70303, (0.50261, 0.85607)","1.29225, (0.97841, 1.65200)"
Animales__P,properties,target,knnc,,bca,"0.77364, (0.64474, 0.86647)","0.62424, (0.52273, 0.71667)","0.47234, (0.33581, 0.59951)","0.33636, (0.22224, 0.45918)","0.79286, (0.57524, 0.93188)","0.75152, (0.54799, 0.91935)","0.90965, (0.77204, 1.09197)"
Animales__P,properties,target,lr,,bca,"0.73704, (0.63396, 0.81469)","0.71515, (0.61667, 0.79394)","0.70807, (0.58439, 0.79975)","0.69091, (0.54359, 0.80425)","0.72611, (0.56835, 0.84289)","0.56970, (0.38138, 0.73696)","1.21757, (0.95111, 1.55173)"
Animales__P,properties,target,svc,,bca,"0.50000, (nan, nan)","0.50000, (0.39394, 0.62121)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00405)"
Animales__P,properties,target,xgb,,bca,"0.83629, (0.72208, 0.90137)","0.75909, (0.66667, 0.82879)","0.75576, (0.64111, 0.83376)","0.74545, (0.61118, 0.84643)","0.76636, (0.61226, 0.86666)","0.48182, (0.30039, 0.63929)","0.83393, (0.59672, 1.20290)"
Animales__P,properties__timing,target,knnc,,bca,"0.78904, (0.67612, 0.87113)","0.63333, (0.52464, 0.72576)","0.47619, (0.34131, 0.61774)","0.33333, (0.22217, 0.47383)","0.83333, (0.56732, 0.94316)","0.73333, (0.52619, 0.91193)","0.95984, (0.78640, 1.23027)"
Animales__P,properties__timing,target,lr,,bca,"0.72468, (0.61991, 0.80083)","0.72879, (0.62812, 0.80038)","0.71451, (0.58049, 0.81103)","0.67879, (0.52981, 0.79042)","0.75421, (0.59009, 0.86645)","0.54242, (0.33224, 0.73333)","1.23017, (1.06994, 1.43664)"
