task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
Animales,properties,target,knnc,,bca,"0.46988, (0.39876, 0.53199)","0.48030, (0.42285, 0.53411)","0.47312, (0.38754, 0.56090)","0.46667, (0.37714, 0.54708)","0.47975, (0.36061, 0.61579)","1.03939, (0.86678, 1.11875)","1.40520, (1.26962, 1.54481)"
Animales,properties,target,lr,,bca,"0.46750, (0.37429, 0.55189)","0.46818, (0.39545, 0.54091)","0.49641, (0.39419, 0.60354)","0.52424, (0.40822, 0.62500)","0.47139, (0.34564, 0.60550)","1.06364, (0.88835, 1.16891)","1.29130, (1.15912, 1.45048)"
Animales,properties,target,svc,,bca,"0.50000, (nan, nan)","0.50000, (0.36364, 0.60606)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00428)"
Animales,properties,target,xgb,,bca,"0.56337, (0.46882, 0.64783)","0.54394, (0.47620, 0.60909)","0.55407, (0.45954, 0.64736)","0.56667, (0.47265, 0.65748)","0.54203, (0.40802, 0.68180)","0.91212, (0.75656, 1.02670)","1.62284, (1.37803, 1.93779)"
Animales,properties__timing,target,knnc,,bca,"0.47602, (0.40457, 0.54959)","0.48182, (0.41676, 0.55152)","0.42617, (0.33355, 0.52776)","0.38485, (0.30312, 0.49136)","0.47744, (0.34507, 0.62847)","1.03636, (0.82022, 1.12649)","1.63403, (1.44411, 1.82089)"
Animales,properties__timing,target,lr,,bca,"0.52311, (0.42888, 0.62191)","0.52121, (0.44394, 0.59394)","0.53529, (0.43126, 0.63371)","0.55152, (0.44659, 0.64542)","0.52000, (0.38285, 0.65537)","0.95758, (0.77613, 1.08427)","1.48119, (1.22727, 1.76916)"
Animales,properties__timing,target,svc,,bca,"0.50000, (nan, nan)","0.50000, (0.36364, 0.60606)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00428)"
Animales,properties__timing,target,xgb,,bca,"0.61490, (0.51111, 0.70118)","0.58788, (0.51061, 0.65758)","0.59882, (0.49832, 0.69001)","0.61515, (0.50346, 0.71409)","0.58333, (0.45518, 0.70822)","0.82424, (0.61680, 0.95161)","1.45219, (1.17929, 1.74942)"
Animales,timing,target,knnc,,bca,"0.52733, (0.42980, 0.63010)","0.55000, (0.46667, 0.63636)","0.50582, (0.39044, 0.61864)","0.46061, (0.33779, 0.59342)","0.56089, (0.39670, 0.70650)","0.90000, (0.66235, 1.04699)","1.30757, (1.19205, 1.45567)"
Animales,timing,target,lr,,bca,"0.54264, (0.43747, 0.66146)","0.52273, (0.43788, 0.61956)","0.51908, (0.38858, 0.64097)","0.51515, (0.37932, 0.67245)","0.52308, (0.37115, 0.67246)","0.95455, (0.68731, 1.11290)","1.08572, (0.96217, 1.22556)"
Animales,timing,target,svc,,bca,"0.49891, (0.45557, 0.54766)","0.49394, (0.39807, 0.58182)","0.20096, (0.15135, 0.26162)","0.12727, (0.09386, 0.17082)","0.47727, (0.32392, 0.63673)","1.01212, (0.93336, 1.06250)","1.05078, (1.00733, 1.09458)"
Animales,timing,target,xgb,,bca,"0.60938, (0.51360, 0.69900)","0.56515, (0.49848, 0.63485)","0.57355, (0.47983, 0.66979)","0.58485, (0.48200, 0.68440)","0.56268, (0.43045, 0.69907)","0.86970, (0.64929, 0.97522)","1.49019, (1.22260, 1.78893)"
Animales__P,properties,target,knnc,,bca,"0.49010, (0.41332, 0.56969)","0.51364, (0.45691, 0.58026)","0.46766, (0.37932, 0.56884)","0.42727, (0.34136, 0.53705)","0.51648, (0.39305, 0.67035)","0.97273, (0.82133, 1.05000)","1.05057, (0.98947, 1.09850)"
Animales__P,properties,target,lr,,bca,"0.47435, (0.39621, 0.56344)","0.50303, (0.43939, 0.57121)","0.50453, (0.40627, 0.60336)","0.50606, (0.40922, 0.60938)","0.50301, (0.37309, 0.63989)","0.99394, (0.79199, 1.09687)","2.07799, (1.74317, 2.36110)"
Animales__P,properties,target,svc,,bca,"0.50000, (nan, nan)","0.50000, (0.36364, 0.60606)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00428)"
Animales__P,properties,target,xgb,,bca,"0.53160, (0.43575, 0.62119)","0.51061, (0.44260, 0.57879)","0.51429, (0.41704, 0.60828)","0.51818, (0.41913, 0.61406)","0.51045, (0.37597, 0.65153)","0.97879, (0.81025, 1.08536)","1.68341, (1.40145, 1.95997)"
Animales__P,properties__timing,target,knnc,,bca,"0.48611, (0.39802, 0.56768)","0.47727, (0.41364, 0.54848)","0.42211, (0.33273, 0.51600)","0.38182, (0.30000, 0.48248)","0.47191, (0.33573, 0.62234)","1.04545, (0.88310, 1.15637)","1.15965, (1.05493, 1.28162)"
Animales__P,properties__timing,target,lr,,bca,"0.47116, (0.38219, 0.55171)","0.47879, (0.40909, 0.54265)","0.49854, (0.40265, 0.59169)","0.51818, (0.40606, 0.61106)","0.48034, (0.35765, 0.61229)","1.04242, (0.87562, 1.13437)","2.56085, (2.20091, 2.93371)"
Animales__P,properties__timing,target,svc,,bca,"0.50000, (nan, nan)","0.50000, (0.36364, 0.60606)","0.00000, (nan, nan)","0.00000, (nan, nan)","0.00000, (nan, nan)","1.00000, (1.00000, 1.20000)","1.00019, (1.00014, 1.00428)"
Animales__P,properties__timing,target,xgb,,bca,"0.59465, (0.50522, 0.68468)","0.56212, (0.49394, 0.63182)","0.57312, (0.47850, 0.65947)","0.58788, (0.50058, 0.67734)","0.55908, (0.42901, 0.68282)","0.87576, (0.69060, 0.98788)","1.37666, (1.15803, 1.62434)"
Animales__P,timing,target,knnc,,bca,"0.51701, (0.41487, 0.61182)","0.52576, (0.44697, 0.60303)","0.48940, (0.38493, 0.59202)","0.45455, (0.34245, 0.56714)","0.53004, (0.37810, 0.66988)","0.94848, (0.74422, 1.08276)","1.06330, (0.99697, 1.12778)"
