task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
Animales,properties,target,knnc,,percentile,"0.72028, (0.61257, 0.82306)","0.66212, (0.56360, 0.75761)","0.53445, (0.39182, 0.66962)","0.38788, (0.26059, 0.52595)","0.85906, (0.69070, 0.98508)","0.67576, (0.55157, 1.08403)","1.01495, (0.84966, 1.22696)"
Animales,properties,target,lr,,percentile,"0.75688, (0.65764, 0.84018)","0.72121, (0.64242, 0.79701)","0.71069, (0.59807, 0.80002)","0.68485, (0.56068, 0.80009)","0.73856, (0.59002, 0.85856)","0.55758, (0.43438, 0.86933)","1.13850, (0.82886, 1.52322)"
Animales,properties,target,svc,,percentile,"0.50000, (0.50000, 0.50000)","0.50000, (0.39356, 0.62121)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","1.00000, (1.00000, 1.54100)","1.00019, (1.00014, 1.05089)"
Animales,properties,target,xgb,,percentile,"0.83642, (0.73972, 0.90632)","0.75152, (0.66966, 0.82125)","0.74295, (0.63876, 0.82465)","0.71818, (0.59993, 0.82289)","0.76948, (0.63665, 0.87502)","0.49697, (0.38707, 0.77144)","0.84047, (0.59105, 1.17356)"
brain,norm_brain_lit,target,knnc,,percentile,"0.88891, (0.79747, 0.95647)","0.83030, (0.73939, 0.90455)","0.81935, (0.70562, 0.90219)","0.76970, (0.62941, 0.88825)","0.87586, (0.75105, 0.97133)","0.33939, (0.20645, 0.61003)","0.67395, (0.49889, 0.95111)"
brain,norm_brain_lit,target,lr,,percentile,"0.87633, (0.78188, 0.94434)","0.85000, (0.77261, 0.91212)","0.84699, (0.75541, 0.91406)","0.83030, (0.71284, 0.92502)","0.86435, (0.75445, 0.94793)","0.30000, (0.19062, 0.54652)","0.77577, (0.52567, 1.16861)"
brain,norm_brain_lit,target,svc,,percentile,"0.50000, (0.50000, 0.50000)","0.50000, (0.39356, 0.62121)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","1.00000, (1.00000, 1.54100)","1.00019, (1.00014, 1.05089)"
brain,norm_brain_lit,target,xgb,,percentile,"0.89837, (0.82046, 0.95489)","0.82879, (0.74693, 0.89091)","0.82905, (0.73599, 0.89636)","0.83030, (0.72220, 0.92357)","0.82779, (0.70022, 0.92407)","0.34242, (0.23631, 0.58940)","0.64569, (0.40758, 0.99481)"
connectivity,networks,target,knnc,,percentile,"0.59213, (0.51192, 0.67124)","0.58030, (0.48788, 0.66822)","0.66586, (0.55685, 0.75371)","0.83636, (0.75161, 0.90334)","0.55311, (0.42261, 0.67751)","0.83939, (0.74664, 1.29625)","1.00204, (0.96671, 1.09134)"
connectivity,networks,target,lr,,percentile,"0.64579, (0.53757, 0.74556)","0.59394, (0.50909, 0.67129)","0.58255, (0.46395, 0.68305)","0.56667, (0.43589, 0.69644)","0.59936, (0.45421, 0.73989)","0.81212, (0.69697, 1.19630)","1.04715, (0.88062, 1.26092)"
