random_seed,fold,threshold,roc_auc,C,brain__norm_brain_lit__lIFGoperc,brain__norm_brain_lit__rIFGoperc,brain__norm_brain_lit__lIFGtriang,brain__norm_brain_lit__rIFGtriang,brain__norm_brain_lit__lROL,brain__norm_brain_lit__rROL,brain__norm_brain_lit__lPFCventmed,brain__norm_brain_lit__rPFCventmed,brain__norm_brain_lit__lREC,brain__norm_brain_lit__rREC,brain__norm_brain_lit__lINS,brain__norm_brain_lit__rINS,brain__norm_brain_lit__lMCC,brain__norm_brain_lit__rMCC,brain__norm_brain_lit__lPCC,brain__norm_brain_lit__rPCC,brain__norm_brain_lit__lHIP,brain__norm_brain_lit__rHIP,brain__norm_brain_lit__lPHG,brain__norm_brain_lit__rPHG,brain__norm_brain_lit__lPCUN,brain__norm_brain_lit__rPCUN,brain__norm_brain_lit__lSTG,brain__norm_brain_lit__rSTG,brain__norm_brain_lit__lTPOsup,brain__norm_brain_lit__rTPOsup,brain__norm_brain_lit__lMTG,brain__norm_brain_lit__rMTG,brain__norm_brain_lit__lTPOmid,brain__norm_brain_lit__rTPOmid,brain__norm_brain_lit__lITG,brain__norm_brain_lit__rITG
3,0,[None],0.6818181818181819,59.86588855385524,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1
3,1,[None],0.796487603305785,59.289564008472155,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0
3,2,[None],0.8057851239669422,19.967458248457756,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0
9,0,[None],0.8274793388429752,3.674726716509371,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1
9,1,[None],0.8553719008264463,15.601948442379607,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0
9,2,[None],0.5909090909090909,95.07143556956098,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
27,0,[None],0.7820247933884297,95.07143556956098,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0
27,1,[None],0.7427685950413223,21.233989833916546,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1
27,2,[None],0.7892561983471074,0.5142768221171106,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0
81,0,[None],0.8605371900826446,59.86588855385524,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1
81,1,[None],0.8264462809917354,0.33044789917759027,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
81,2,[None],0.7355371900826446,4.6451366269585,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1
243,0,[None],0.7148760330578512,27.190606779691226,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
243,1,[None],0.7603305785123968,96.99098822521421,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0
243,2,[None],0.6993801652892562,59.86588855385524,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1
729,0,[None],0.740702479338843,95.07143556956098,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
729,1,[None],0.6549586776859504,0.0001,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
729,2,[None],0.8223140495867768,0.4863223435477217,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0
2187,0,[None],0.8016528925619835,90.2691289568462,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0
2187,1,[None],0.8119834710743802,63.028103811183655,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
2187,2,[None],0.5971074380165289,0.0001,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1
6561,0,[None],0.7603305785123967,0.7211165394004106,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
6561,1,[None],0.859504132231405,59.86588855385524,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
6561,2,[None],0.5578512396694215,0.0001,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
19683,0,[None],0.7231404958677685,0.0001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
19683,1,[None],0.6683884297520661,65.18750946773602,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1
19683,2,[None],0.683884297520661,70.80728697234677,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
59049,0,[None],0.756198347107438,95.07143556956098,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1
59049,1,[None],0.7138429752066116,100.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
59049,2,[None],0.6508264462809917,0.0001,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
