random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,brain__norm_brain_lit__lIFGoperc,brain__norm_brain_lit__rIFGoperc,brain__norm_brain_lit__lIFGtriang,brain__norm_brain_lit__rIFGtriang,brain__norm_brain_lit__lROL,brain__norm_brain_lit__rROL,brain__norm_brain_lit__lPFCventmed,brain__norm_brain_lit__rPFCventmed,brain__norm_brain_lit__lREC,brain__norm_brain_lit__rREC,brain__norm_brain_lit__lINS,brain__norm_brain_lit__rINS,brain__norm_brain_lit__lMCC,brain__norm_brain_lit__rMCC,brain__norm_brain_lit__lPCC,brain__norm_brain_lit__rPCC,brain__norm_brain_lit__lHIP,brain__norm_brain_lit__rHIP,brain__norm_brain_lit__lPHG,brain__norm_brain_lit__rPHG,brain__norm_brain_lit__lPCUN,brain__norm_brain_lit__rPCUN,brain__norm_brain_lit__lSTG,brain__norm_brain_lit__rSTG,brain__norm_brain_lit__lTPOsup,brain__norm_brain_lit__rTPOsup,brain__norm_brain_lit__lMTG,brain__norm_brain_lit__rMTG,brain__norm_brain_lit__lTPOmid,brain__norm_brain_lit__rTPOmid,brain__norm_brain_lit__lITG,brain__norm_brain_lit__rITG
3,0,[None],0.7851239669421488,9,425,0.001,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0
3,1,[None],0.8140495867768596,7,11,0.9699399423098324,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
3,2,[None],0.8822314049586777,1,454,0.2595212016184169,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
9,0,[None],0.7603305785123966,3,259,0.7033159399362827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
9,1,[None],0.8533057851239669,1,14,0.5539322372850662,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
9,2,[None],0.9256198347107438,1,407,0.7071504865037695,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
27,0,[None],0.875,1,16,0.6688542194908866,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1
27,1,[None],0.7727272727272727,4,475,0.7322619478695936,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1
27,2,[None],0.7334710743801653,1,454,1.0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
81,0,[None],0.8760330578512397,2,356,0.7610242635682806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.7933884297520661,1,433,0.6015138967314656,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1
81,2,[None],0.7107438016528926,3,19,0.609954769645917,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
243,0,[None],0.7045454545454545,3,18,0.6173784795966696,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1
243,1,[None],0.6797520661157025,8,448,0.2598214441367216,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],0.7882231404958677,1,16,0.6284258017324384,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0
729,0,[None],0.7923553719008265,2,358,0.6763502715420625,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
729,1,[None],0.8388429752066116,7,28,0.001,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
729,2,[None],0.7561983471074379,4,141,0.5431533870750902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.8491735537190083,8,384,0.4053477389529366,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0
2187,1,[None],0.6828512396694215,3,205,0.7557955874045056,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
2187,2,[None],0.8316115702479339,3,163,0.729876572159726,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1
6561,0,[None],0.7634297520661157,1,115,1.0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1
6561,1,[None],0.8946280991735537,5,256,0.001,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1
6561,2,[None],0.6053719008264462,1,7,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],0.6570247933884297,2,169,0.9429667942086066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1
19683,1,[None],0.8698347107438016,5,261,0.5580997709166162,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1
19683,2,[None],0.7190082644628099,9,482,0.8085889507683447,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
59049,0,[None],0.5816115702479339,1,417,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1
59049,1,[None],0.8336776859504132,1,15,0.6390135101289918,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1
59049,2,[None],0.8739669421487604,5,240,0.5768087939109838,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
