random_seed,fold,threshold,roc_auc,n_neighbors,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],,23,1,1,1,1,1,1,1,1,1
3,1,[None],,10,1,1,1,1,1,1,1,1,1
3,2,[None],,6,1,1,1,1,1,1,1,1,1
9,0,[None],,24,1,1,1,1,1,1,1,1,1
9,1,[None],,6,1,1,1,1,1,1,1,1,1
9,2,[None],,5,1,1,1,1,1,1,1,1,1
27,0,[None],,16,1,1,1,1,1,1,1,1,1
27,1,[None],,22,1,1,1,1,1,1,1,1,1
27,2,[None],,7,1,1,1,1,1,1,1,1,1
81,0,[None],,18,1,1,1,1,1,1,1,1,1
81,1,[None],,21,1,1,1,1,1,1,1,1,1
81,2,[None],,2,1,1,1,1,1,1,1,1,1
243,0,[None],,20,1,1,1,1,1,1,1,1,1
243,1,[None],,1,1,1,1,1,1,1,1,1,1
243,2,[None],,10,1,1,1,1,1,1,1,1,1
729,0,[None],,22,1,1,1,1,1,1,1,1,1
729,1,[None],,20,1,1,1,1,1,1,1,1,1
729,2,[None],,2,1,1,1,1,1,1,1,1,1
2187,0,[None],,4,1,1,1,1,1,1,1,1,1
2187,1,[None],,24,1,1,1,1,1,1,1,1,1
2187,2,[None],,12,1,1,1,1,1,1,1,1,1
6561,0,[None],,19,1,1,1,1,1,1,1,1,1
6561,1,[None],,8,1,1,1,1,1,1,1,1,1
6561,2,[None],,21,1,1,1,1,1,1,1,1,1
19683,0,[None],,5,1,1,1,1,1,1,1,1,1
19683,1,[None],,23,1,1,1,1,1,1,1,1,1
19683,2,[None],,11,1,1,1,1,1,1,1,1,1
59049,0,[None],,19,1,1,1,1,1,1,1,1,1
59049,1,[None],,21,1,1,1,1,1,1,1,1,1
59049,2,[None],,13,1,1,1,1,1,1,1,1,1
