random_seed,fold,threshold,roc_auc,C,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],,37.45407443072437,1,1,1,1,1,1,1,1,1
3,1,[None],,0.5269668208372575,1,1,1,1,1,1,1,1,1
3,2,[None],,2.6245927568183203,1,1,1,1,1,1,1,1,1
9,0,[None],,0.22458692459431226,1,1,1,1,1,1,1,1,1
9,1,[None],,0.994840525285375,1,1,1,1,1,1,1,1,1
9,2,[None],,30.424293871729475,1,1,1,1,1,1,1,1,1
27,0,[None],,0.476227244031025,1,1,1,1,1,1,1,1,1
27,1,[None],,0.6110844198201154,1,1,1,1,1,1,1,1,1
27,2,[None],,5.8084554084587285,1,1,1,1,1,1,1,1,1
81,0,[None],,0.21349363496307264,1,1,1,1,1,1,1,1,1
81,1,[None],,1.7002091890447408,1,1,1,1,1,1,1,1,1
81,2,[None],,2.6455538583312217,1,1,1,1,1,1,1,1,1
243,0,[None],,30.424293871729475,1,1,1,1,1,1,1,1,1
243,1,[None],,15.601948442379607,1,1,1,1,1,1,1,1,1
243,2,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1
729,0,[None],,4.6451366269585,1,1,1,1,1,1,1,1,1
729,1,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1
729,2,[None],,4.6451366269585,1,1,1,1,1,1,1,1,1
2187,0,[None],,95.07143556956098,1,1,1,1,1,1,1,1,1
2187,1,[None],,0.42132871981215786,1,1,1,1,1,1,1,1,1
2187,2,[None],,3.9872883951856566,1,1,1,1,1,1,1,1,1
6561,0,[None],,15.601948442379607,1,1,1,1,1,1,1,1,1
6561,1,[None],,0.232960285893709,1,1,1,1,1,1,1,1,1
6561,2,[None],,37.45407443072437,1,1,1,1,1,1,1,1,1
19683,0,[None],,3.4389486726697283,1,1,1,1,1,1,1,1,1
19683,1,[None],,0.5078591178509367,1,1,1,1,1,1,1,1,1
19683,2,[None],,2.0585473711308153,1,1,1,1,1,1,1,1,1
59049,0,[None],,2.77795988979485,1,1,1,1,1,1,1,1,1
59049,1,[None],,1.124646888529649,1,1,1,1,1,1,1,1,1
59049,2,[None],,0.3006685178594087,1,1,1,1,1,1,1,1,1
