random_seed,fold,threshold,roc_auc,C,gamma,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
3,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1
3,2,[None],,60.754524435658645,1705.2413198205031,1,1,1,1,1,1,1,1,1
9,0,[None],,35.84663700785441,1158.6906836643911,1,1,1,1,1,1,1,1,1
9,1,[None],,78.23643270626272,5996.892860259451,1,1,1,1,1,1,1,1,1
9,2,[None],,18.182578538213342,1834.0451801938873,1,1,1,1,1,1,1,1,1
27,0,[None],,52.27333066491647,4275.410240831395,1,1,1,1,1,1,1,1,1
27,1,[None],,84.07245902137741,2123.5631005431037,1,1,1,1,1,1,1,1,1
27,2,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
81,0,[None],,72.96064487318857,6375.574749796385,1,1,1,1,1,1,1,1,1
81,1,[None],,90.26867736293289,8943.920123831038,1,1,1,1,1,1,1,1,1
81,2,[None],,11.959512634405575,7132.447900905472,1,1,1,1,1,1,1,1,1
243,0,[None],,30.46144645596015,976.7212302966274,1,1,1,1,1,1,1,1,1
243,1,[None],,29.704358779265903,5247.459866755024,1,1,1,1,1,1,1,1,1
243,2,[None],,4.522824368324915,3253.3033750996105,1,1,1,1,1,1,1,1,1
729,0,[None],,4.522824368324915,3253.3033750996105,1,1,1,1,1,1,1,1,1
729,1,[None],,78.0122492938715,2969.6150996653823,1,1,1,1,1,1,1,1,1
729,2,[None],,31.098301073334046,3251.833287749139,1,1,1,1,1,1,1,1,1
2187,0,[None],,53.262711178111616,120.05122090703166,1,1,1,1,1,1,1,1,1
2187,1,[None],,68.42333422791305,4401.5249933807645,1,1,1,1,1,1,1,1,1
2187,2,[None],,15.601948442379607,1559.9452877625745,1,1,1,1,1,1,1,1,1
6561,0,[None],,3.4389486726697283,9093.20402985578,1,1,1,1,1,1,1,1,1
6561,1,[None],,77.22449970518882,1987.156895470156,1,1,1,1,1,1,1,1,1
6561,2,[None],,30.424293871729475,5247.564363846735,1,1,1,1,1,1,1,1,1
19683,0,[None],,86.31035627721677,6232.981305945767,1,1,1,1,1,1,1,1,1
19683,1,[None],,19.967458248457756,5142.344432712673,1,1,1,1,1,1,1,1,1
19683,2,[None],,35.84663700785441,1158.6906836643911,1,1,1,1,1,1,1,1,1
59049,0,[None],,88.7212855363584,4722.149304398001,1,1,1,1,1,1,1,1,1
59049,1,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
59049,2,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
