random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],,3,259,0.7033159399362827,1,1,1,1,1,1,1,1,1
3,1,[None],,1,437,0.2958336508123143,1,1,1,1,1,1,1,1,1
3,2,[None],,2,446,0.5398028996737351,1,1,1,1,1,1,1,1,1
9,0,[None],,2,170,1.0,1,1,1,1,1,1,1,1,1
9,1,[None],,1,328,0.9028091403563189,1,1,1,1,1,1,1,1,1
9,2,[None],,1,433,0.9289248643831926,1,1,1,1,1,1,1,1,1
27,0,[None],,4,136,0.8289087716427774,1,1,1,1,1,1,1,1,1
27,1,[None],,2,464,0.8083122591848525,1,1,1,1,1,1,1,1,1
27,2,[None],,2,356,0.7610242635682806,1,1,1,1,1,1,1,1,1
81,0,[None],,4,136,0.8289087716427774,1,1,1,1,1,1,1,1,1
81,1,[None],,4,475,0.7322619478695936,1,1,1,1,1,1,1,1,1
81,2,[None],,5,296,0.047403962307277725,1,1,1,1,1,1,1,1,1
243,0,[None],,4,485,0.9624848476471691,1,1,1,1,1,1,1,1,1
243,1,[None],,1,114,0.42768068083763006,1,1,1,1,1,1,1,1,1
243,2,[None],,5,214,0.001,1,1,1,1,1,1,1,1,1
729,0,[None],,1,407,0.7071504865037695,1,1,1,1,1,1,1,1,1
729,1,[None],,1,433,0.6015138967314656,1,1,1,1,1,1,1,1,1
729,2,[None],,1,406,0.6683314151627058,1,1,1,1,1,1,1,1,1
2187,0,[None],,3,254,0.9076589074521669,1,1,1,1,1,1,1,1,1
2187,1,[None],,1,407,0.7071504865037695,1,1,1,1,1,1,1,1,1
2187,2,[None],,9,482,0.8085889507683447,1,1,1,1,1,1,1,1,1
6561,0,[None],,1,453,0.7842961317848808,1,1,1,1,1,1,1,1,1
6561,1,[None],,4,136,0.8289087716427774,1,1,1,1,1,1,1,1,1
6561,2,[None],,1,114,0.42768068083763006,1,1,1,1,1,1,1,1,1
19683,0,[None],,3,254,0.9076589074521669,1,1,1,1,1,1,1,1,1
19683,1,[None],,1,435,0.8236860971357065,1,1,1,1,1,1,1,1,1
19683,2,[None],,4,475,0.7322619478695936,1,1,1,1,1,1,1,1,1
59049,0,[None],,7,11,0.9699399423098324,1,1,1,1,1,1,1,1,1
59049,1,[None],,3,205,0.7557955874045056,1,1,1,1,1,1,1,1,1
59049,2,[None],,1,432,0.7527879196907554,1,1,1,1,1,1,1,1,1
