random_seed,fold,threshold,roc_auc,n_neighbors,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],0.6983471074380166,32,1,1,1,1,1,0,1,1,1
3,1,[None],0.7582644628099173,28,1,1,1,1,1,1,1,1,1
3,2,[None],0.5971074380165289,35,0,1,1,1,1,1,1,1,1
9,0,[None],0.7572314049586777,36,1,1,1,1,1,1,1,1,1
9,1,[None],0.634297520661157,36,1,1,1,1,0,1,1,1,1
9,2,[None],0.6797520661157025,33,1,1,1,1,1,1,0,0,1
27,0,[None],0.7210743801652892,31,1,1,1,1,1,1,1,1,1
27,1,[None],0.7231404958677685,5,0,1,0,1,1,1,0,1,1
27,2,[None],0.7737603305785123,21,1,1,0,0,1,1,1,1,1
81,0,[None],0.6900826446280992,28,1,1,1,1,1,1,0,1,1
81,1,[None],0.8233471074380165,13,1,1,0,0,0,1,0,0,1
81,2,[None],0.6787190082644627,26,1,1,1,1,1,1,1,1,1
243,0,[None],0.8171487603305785,28,1,1,1,1,1,1,1,1,1
243,1,[None],0.7200413223140496,32,1,1,1,1,0,1,1,0,1
243,2,[None],0.618801652892562,35,1,1,1,1,0,1,1,1,1
729,0,[None],0.694214876033058,13,1,1,1,1,0,1,1,1,1
729,1,[None],0.6838842975206612,34,1,1,1,1,1,1,1,1,1
729,2,[None],0.6973140495867768,37,0,1,1,1,0,1,1,1,1
2187,0,[None],0.6477272727272727,12,1,1,1,1,0,1,1,0,1
2187,1,[None],0.7582644628099173,30,1,1,0,1,0,1,1,0,1
2187,2,[None],0.7407024793388429,29,1,1,1,1,1,1,1,1,1
6561,0,[None],0.6632231404958677,32,1,1,1,1,1,1,1,1,1
6561,1,[None],0.6931818181818182,16,1,1,0,1,1,1,1,1,1
6561,2,[None],0.7231404958677686,36,1,1,1,1,0,1,1,1,1
19683,0,[None],0.6394628099173555,29,1,1,1,1,1,1,1,1,1
19683,1,[None],0.8016528925619835,32,0,1,0,0,0,1,0,0,1
19683,2,[None],0.8502066115702479,22,1,1,0,0,1,1,0,1,1
59049,0,[None],0.746900826446281,30,1,1,0,1,1,1,0,0,1
59049,1,[None],0.6900826446280992,32,1,1,1,1,1,1,1,1,1
59049,2,[None],0.7097107438016529,30,1,1,1,1,1,1,1,1,1
