random_seed,fold,threshold,roc_auc,C,gamma,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],0.4400826446280991,14.092508405053767,8021.9698273207,1,1,1,1,1,1,1,1,1
3,1,[None],0.3326446280991735,59.24149764474736,464.504222554936,1,1,1,1,1,1,1,1,1
3,2,[None],0.46900826446280985,33.138392494533086,634.2590586948832,1,1,1,1,1,1,1,1,1
9,0,[None],0.5144628099173554,43.194558669709714,2912.2914728575056,1,1,1,1,1,1,1,1,1
9,1,[None],0.5764462809917356,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
9,2,[None],0.5268595041322314,72.96064487318857,6375.574749796385,1,1,1,1,1,1,1,1,1
27,0,[None],0.6756198347107438,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
27,1,[None],0.3140495867768595,83.72328190909417,2123.90556608667,1,1,1,1,1,1,1,1,1
27,2,[None],0.34090909090909083,72.96064487318857,6375.574749796385,1,1,1,1,1,1,1,1,1
81,0,[None],0.5578512396694215,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
81,1,[None],0.5371900826446281,3.4389486726697283,9093.20402985578,1,1,1,1,1,1,1,1,1
81,2,[None],0.4111570247933884,96.10287088283958,8084.996153111766,1,1,1,1,1,1,1,1,1
243,0,[None],0.39669421487603307,11.959512634405575,7132.447900905472,1,1,1,1,1,1,1,1,1
243,1,[None],0.390495867768595,45.60705281470517,7851.759635412541,1,1,1,1,1,1,1,1,1
243,2,[None],0.631198347107438,43.194558669709714,2912.2914728575056,1,1,1,1,1,1,1,1,1
729,0,[None],0.2066115702479339,35.84663700785441,1158.6906836643911,1,1,1,1,1,1,1,1,1
729,1,[None],0.371900826446281,81.10224998593304,3440.5460788670343,1,1,1,1,1,1,1,1,1
729,2,[None],0.5413223140495868,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
2187,0,[None],0.5392561983471074,93.94990020652476,8948.273514793753,1,1,1,1,1,1,1,1,1
2187,1,[None],0.4690082644628099,29.21453563905696,3663.618496300733,1,1,1,1,1,1,1,1,1
2187,2,[None],0.5599173553719008,96.95846581799307,7751.328256097864,1,1,1,1,1,1,1,1,1
6561,0,[None],0.40082644628099173,76.07852878318488,5612.772019567243,1,1,1,1,1,1,1,1,1
6561,1,[None],0.5,0.0001,1989.679037520586,1,1,1,1,1,1,1,1,1
6561,2,[None],0.5495867768595042,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
19683,0,[None],0.5867768595041323,0.44508973853882816,8170.20254934803,1,1,1,1,1,1,1,1,1
19683,1,[None],0.5206611570247934,54.67107326330003,1848.544636769825,1,1,1,1,1,1,1,1,1
19683,2,[None],0.6528925619834711,38.867790101219235,2713.4903906040563,1,1,1,1,1,1,1,1,1
59049,0,[None],0.4896694214876033,18.182578538213342,1834.0451801938873,1,1,1,1,1,1,1,1,1
59049,1,[None],0.5144628099173554,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
59049,2,[None],0.5826446280991735,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
