random_seed,fold,threshold,roc_auc,n_neighbors,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],0.6518595041322313,2,1,0,0,1,1,1,1,1,1
3,1,[None],0.5681818181818181,39,1,1,1,1,1,1,0,1,1
3,2,[None],0.5816115702479339,17,1,0,1,1,1,1,1,1,1
9,0,[None],0.6033057851239669,37,1,1,1,0,1,1,1,1,1
9,1,[None],0.6425619834710744,37,1,1,1,1,1,1,1,0,1
9,2,[None],0.75,1,1,1,0,1,1,0,1,1,1
27,0,[None],0.6363636363636365,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.6322314049586777,35,1,1,1,1,1,1,1,1,0
27,2,[None],0.5888429752066117,34,1,1,1,0,1,1,1,1,1
81,0,[None],0.59400826446281,16,1,1,1,1,1,1,1,1,1
81,1,[None],0.6084710743801653,36,1,1,1,1,1,1,1,0,1
81,2,[None],0.6425619834710744,35,1,1,1,1,1,1,1,1,1
243,0,[None],0.5,40,1,1,1,1,1,1,1,1,1
243,1,[None],0.6838842975206612,36,0,1,1,1,1,1,1,1,1
243,2,[None],0.7283057851239669,2,0,1,0,1,0,0,1,1,1
729,0,[None],0.6363636363636364,20,1,1,1,1,1,1,1,0,1
729,1,[None],0.5227272727272727,39,1,1,1,1,1,1,1,1,1
729,2,[None],0.6900826446280992,36,0,1,1,0,1,0,1,1,1
2187,0,[None],0.6570247933884298,37,1,1,1,1,1,1,1,1,0
2187,1,[None],0.5960743801652892,4,1,1,1,1,1,1,1,1,0
2187,2,[None],0.6260330578512396,38,1,1,1,1,1,1,0,1,1
6561,0,[None],0.5723140495867769,37,1,1,1,1,0,1,0,1,1
6561,1,[None],0.6136363636363636,38,1,1,1,1,1,1,1,0,1
6561,2,[None],0.649793388429752,36,1,1,1,0,1,0,1,1,1
19683,0,[None],0.5661157024793388,13,1,1,1,1,1,1,1,1,1
19683,1,[None],0.6663223140495868,34,1,1,1,1,1,1,1,1,1
19683,2,[None],0.6818181818181819,38,1,1,1,1,1,0,1,0,1
59049,0,[None],0.6353305785123967,5,1,1,1,0,0,0,0,1,1
59049,1,[None],0.6849173553719008,25,1,1,1,1,1,1,0,1,1
59049,2,[None],0.6632231404958678,5,1,1,0,0,1,0,1,0,0
