random_seed,fold,threshold,roc_auc,C,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],0.5413223140495868,95.07143556956098,0,0,0,0,0,0,1,0,0
3,1,[None],0.5960743801652892,7.867850598603903,1,0,0,0,1,0,0,0,1
3,2,[None],0.7386363636363636,0.763552645449081,1,0,1,0,1,0,1,0,0
9,0,[None],0.5991735537190083,0.009137401012771497,0,0,0,0,1,0,0,0,0
9,1,[None],0.6239669421487604,0.11872061856798784,1,0,1,0,1,0,0,1,1
9,2,[None],0.628099173553719,95.07143556956098,1,0,0,0,0,1,0,0,1
27,0,[None],0.6611570247933884,0.3971700397345496,1,0,0,0,1,0,0,0,0
27,1,[None],0.628099173553719,0.25375947431435325,1,1,0,0,0,0,0,0,1
27,2,[None],0.5785123966942148,0.0001,0,0,0,0,1,1,0,0,1
81,0,[None],0.6983471074380165,3.106909917632607,0,0,1,1,0,0,0,1,1
81,1,[None],0.6033057851239669,95.07143556956098,1,0,0,0,1,0,0,1,1
81,2,[None],0.6022727272727273,0.6131313873730176,1,1,1,0,0,1,0,1,0
243,0,[None],0.5836776859504132,37.45407443072437,1,1,1,1,1,0,0,1,1
243,1,[None],0.615702479338843,0.0001,1,0,1,1,1,0,0,1,0
243,2,[None],0.7055785123966942,2.9706987072941127,0,0,1,0,1,1,0,0,1
729,0,[None],0.7097107438016529,0.0001,1,0,1,1,0,1,1,0,0
729,1,[None],0.5072314049586777,95.07143556956098,0,0,0,0,0,0,0,0,1
729,2,[None],0.6818181818181819,1.5831600622477462,1,0,1,1,1,1,1,0,0
2187,0,[None],0.6642561983471075,0.9775114199536256,0,1,1,1,1,0,0,0,0
2187,1,[None],0.7231404958677686,6.505252793368653,1,0,0,0,1,0,0,0,0
2187,2,[None],0.634297520661157,1.5772059038088995,0,1,1,1,1,1,0,0,1
6561,0,[None],0.40495867768595045,95.07143556956098,1,1,0,1,1,1,0,1,1
6561,1,[None],0.6384297520661157,0.0001,1,0,0,0,1,1,0,1,1
6561,2,[None],0.7365702479338843,5.8084554084587285,0,0,1,1,1,0,0,0,1
19683,0,[None],0.6477272727272727,0.0001,0,0,0,1,1,0,0,0,0
19683,1,[None],0.7004132231404959,0.43961016061215413,0,0,1,1,0,0,0,0,1
19683,2,[None],0.6466942148760331,4.6451366269585,1,1,1,1,1,0,1,1,1
59049,0,[None],0.5733471074380165,0.5617350700264129,1,0,1,1,1,0,0,0,1
59049,1,[None],0.6642561983471075,0.17133775213628616,0,1,1,0,1,0,0,0,1
59049,2,[None],0.6167355371900827,5.8084554084587285,1,0,1,0,0,1,1,0,0
