random_seed,fold,threshold,roc_auc,C,gamma,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],0.6643598615916955,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
3,1,[None],0.6045751633986929,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
3,2,[None],0.6568627450980393,0.0001,8154.066751591274,1,1,1,1,1,1,1,1,1
9,0,[None],0.6643598615916955,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
9,1,[None],0.6045751633986929,0.00010000000000021103,8171.650935907203,1,1,1,1,1,1,1,1,1
9,2,[None],0.6568627450980393,0.0001,8163.630699850224,1,1,1,1,1,1,1,1,1
27,0,[None],0.6643598615916955,0.0001,8172.842035442095,1,1,1,1,1,1,1,1,1
27,1,[None],0.6045751633986929,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
27,2,[None],0.6568627450980393,0.0001,8176.591213736147,1,1,1,1,1,1,1,1,1
81,0,[None],0.6643598615916955,0.0001,8168.917820755199,1,1,1,1,1,1,1,1,1
81,1,[None],0.6045751633986929,0.0001,8157.747495943306,1,1,1,1,1,1,1,1,1
81,2,[None],0.6568627450980393,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
243,0,[None],0.6643598615916955,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
243,1,[None],0.6045751633986929,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
243,2,[None],0.6568627450980393,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
729,0,[None],0.6643598615916955,0.0001,8171.071996870396,1,1,1,1,1,1,1,1,1
729,1,[None],0.6045751633986929,0.0001,8169.694152540031,1,1,1,1,1,1,1,1,1
729,2,[None],0.6568627450980393,0.2173560907836621,8152.696048911031,1,1,1,1,1,1,1,1,1
2187,0,[None],0.6643598615916955,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
2187,1,[None],0.6045751633986929,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
2187,2,[None],0.6568627450980393,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
6561,0,[None],0.6643598615916955,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
6561,1,[None],0.6045751633986929,0.0001,8168.116522695072,1,1,1,1,1,1,1,1,1
6561,2,[None],0.6568627450980393,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
19683,0,[None],0.6643598615916955,0.0001,8167.802475194182,1,1,1,1,1,1,1,1,1
19683,1,[None],0.6045751633986929,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
19683,2,[None],0.6568627450980393,0.0001,8160.518797572973,1,1,1,1,1,1,1,1,1
59049,0,[None],0.6643598615916955,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
59049,1,[None],0.6045751633986929,0.0001,8153.765205315895,1,1,1,1,1,1,1,1,1
59049,2,[None],0.6568627450980393,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1
