random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,connectivity__networks__QC_GCOR_rest,connectivity__networks__avg_connectivity__dmn,connectivity__networks__avg_connectivity__language,connectivity__networks__avg_connectivity__executive,connectivity__networks__avg_connectivity__salience,connectivity__networks__avg_connectivity__visual,connectivity__networks__avg_connectivity__motor,connectivity__networks__avg_connectivity__limbic,connectivity__networks__avg_connectivity__mtl_memory
3,0,[None],0.6219008264462811,1,433,0.6416505387580151,0,1,0,0,0,0,1,0,0
3,1,[None],0.4669421487603306,2,146,0.366995481450398,1,1,0,0,0,1,1,0,1
3,2,[None],0.7479338842975207,1,114,0.32047505585986774,1,1,1,0,1,0,0,1,0
9,0,[None],0.5743801652892562,7,11,0.9699399423098324,1,1,1,1,1,1,0,1,1
9,1,[None],0.6157024793388429,8,430,0.007945178400659513,0,0,1,1,0,0,0,0,0
9,2,[None],0.6652892561983471,3,49,0.6845487934856448,0,1,0,1,0,0,1,1,0
27,0,[None],0.6849173553719008,4,485,0.9624848476471691,0,0,1,1,1,1,0,1,1
27,1,[None],0.6115702479338843,5,446,1.0,0,0,0,0,0,1,0,1,1
27,2,[None],0.7138429752066116,1,149,0.9344503161919735,1,0,0,0,0,1,0,0,1
81,0,[None],0.7024793388429752,1,433,0.065920195520176,0,0,1,0,0,0,0,1,1
81,1,[None],0.6818181818181819,5,93,0.969615043136794,1,0,1,1,0,1,1,0,1
81,2,[None],0.6880165289256198,4,58,0.8463091378518868,1,1,1,1,1,1,1,1,1
243,0,[None],0.768595041322314,2,356,0.7610242635682806,0,1,1,0,0,0,1,1,1
243,1,[None],0.4907024793388429,1,222,1.0,1,1,1,1,1,0,0,1,0
243,2,[None],0.6053719008264463,5,93,0.969615043136794,0,0,1,0,0,0,0,1,0
729,0,[None],0.765495867768595,8,430,0.010234836894156225,1,0,1,1,0,0,0,1,0
729,1,[None],0.6198347107438017,9,482,0.8085889507683447,0,1,1,0,0,0,1,1,0
729,2,[None],0.6105371900826446,1,114,0.7006324302408918,1,0,1,0,1,0,1,0,0
2187,0,[None],0.7510330578512396,9,482,0.8085889507683447,0,1,0,0,0,0,1,1,0
2187,1,[None],0.6136363636363635,2,23,0.39485410496857953,1,0,1,1,1,0,1,1,1
2187,2,[None],0.6725206611570249,4,485,0.9624848476471691,1,0,1,0,0,0,0,0,0
6561,0,[None],0.5619834710743802,2,114,0.7528350906607247,1,1,1,0,0,1,0,1,1
6561,1,[None],0.743801652892562,4,485,0.9624848476471691,1,0,0,1,0,0,0,0,0
6561,2,[None],0.6580578512396694,1,220,0.5014837836066447,0,0,1,0,1,0,0,0,0
19683,0,[None],0.7076446280991736,1,221,0.6609026887336779,0,1,1,1,0,0,0,0,1
19683,1,[None],0.5847107438016529,3,163,0.729876572159726,1,0,0,0,0,0,1,1,0
19683,2,[None],0.6528925619834711,2,146,0.366995481450398,1,1,1,1,0,0,1,0,0
59049,0,[None],0.5402892561983472,2,169,1.0,1,1,1,1,1,1,1,1,1
59049,1,[None],0.75,1,114,0.42768068083763006,0,0,1,0,0,0,0,1,1
59049,2,[None],0.7737603305785123,2,169,0.9429667942086066,0,0,0,0,1,0,1,1,0
