feature,importance
Animales__properties__sa_num_phon_std,0.3666663
Animales__properties__log_frq_promedio,0.16186623
Animales__properties__granularidad_std,0.094509706
Animales__properties__sa_NP__std,0.07175306
Animales__properties__sa_num_syll_std,0.066194676
Animales__properties__log_frq_std,0.06348824
Animales__properties__osv,0.0490287
Animales__properties__sa_NP__promedio,0.045378495
Animales__properties__concreteness_imputada_promedio,0.03304049
Animales__properties__concreteness_imputada_std,0.032202337
Animales__properties__granularidad_promedio,0.011232019
Animales__properties__sa_num_phon_promedio,0.0046154023
Animales__properties__sa_num_syll_promedio,2.4323404e-05
