feature,importance
Animales__properties__log_frq_promedio,0.238526
Animales__properties__concreteness_imputada_std,0.19520414
Animales__properties__granularidad_std,0.13867635
Animales__properties__sa_NP__std,0.12154146
Animales__properties__log_frq_std,0.10752129
Animales__properties__sa_num_syll_std,0.08540106
Animales__properties__osv,0.06603799
Animales__properties__concreteness_imputada_promedio,0.03627219
Animales__properties__granularidad_promedio,0.008896288
Animales__properties__sa_num_syll_promedio,0.0019232421
