feature,importance
Animales__timing__nsyll,0.22202797
Animales__timing__speechrate,0.18600567
Animales__properties__sa_num_syll_std,0.08253299
Animales__timing__pause_duration_mean,0.07698912
Animales__properties__log_frq_promedio,0.06399685
Animales__timing__syllable_duration_mean,0.059477597
Animales__properties__sa_num_phon_std,0.045061935
Animales__properties__granularidad_promedio,0.044553816
Animales__timing__npauses,0.039662834
Animales__properties__sa_NP__promedio,0.034051374
Animales__properties__concreteness_imputada_std,0.033317354
Animales__timing__pause_duration_std,0.027563155
Animales__properties__granularidad_std,0.026710099
Animales__properties__sa_NP__std,0.014148655
Animales__properties__concreteness_imputada_promedio,0.009999429
Animales__properties__log_frq_std,0.0087675
Animales__timing__syllable_duration_std,0.008316968
Animales__properties__sa_num_syll_promedio,0.008100971
Animales__properties__osv,0.007980427
Animales__properties__sa_num_phon_promedio,0.0007353031
