feature,importance
Animales__timing__speechrate,0.60391015
Animales__properties__sa_num_syll_std,0.06623352
Animales__properties__sa_num_phon_std,0.055120006
Animales__properties__log_frq_promedio,0.05046821
Animales__properties__granularidad_std,0.037105076
Animales__timing__pause_duration_std,0.034050878
Animales__properties__sa_NP__std,0.029995676
Animales__properties__log_frq_std,0.028075578
Animales__timing__syllable_duration_mean,0.022078028
Animales__properties__sa_NP__promedio,0.019473735
Animales__properties__granularidad_promedio,0.011804216
Animales__properties__concreteness_imputada_std,0.01099324
Animales__properties__osv,0.010293151
Animales__timing__npauses,0.0069934865
Animales__properties__sa_num_phon_promedio,0.0063709123
Animales__timing__syllable_duration_std,0.00520389
Animales__properties__concreteness_imputada_promedio,0.0018303181
Animales__properties__sa_num_syll_promedio,0.0
Animales__timing__nsyll,0.0
