feature,importance
Animales__properties__granularidad_promedio,0.2077372
Animales__timing__speechrate,0.15302429
Animales__properties__granularidad_std,0.12601486
Animales__timing__nsyll,0.117766075
Animales__properties__log_frq_promedio,0.091177434
Animales__timing__syllable_duration_std,0.08910504
Animales__timing__pause_duration_mean,0.03700748
Animales__timing__syllable_duration_mean,0.03033402
Animales__properties__sa_num_phon_promedio,0.025419082
Animales__properties__sa_num_syll_promedio,0.023552148
Animales__properties__sa_num_syll_std,0.018843086
Animales__properties__concreteness_imputada_promedio,0.017789116
Animales__properties__log_frq_std,0.015399217
Animales__timing__pause_duration_std,0.014501662
Animales__timing__npauses,0.013937707
Animales__properties__concreteness_imputada_std,0.012788402
Animales__properties__osv,0.004402396
Animales__properties__sa_NP__std,0.0012008421
