feature,importance
Animales__vr__count,0.3173294
Animales__properties__sa_num_syll_std,0.15193498
Animales__properties__osv,0.12621434
Animales__properties__log_frq_promedio,0.057501145
Animales__properties__granularidad_promedio,0.05720693
Animales__timing__pause_duration_std,0.055117443
Animales__timing__syllable_duration_mean,0.05428656
Animales__properties__granularidad_std,0.04664047
Animales__properties__sa_num_syll_promedio,0.03835398
Animales__timing__pause_duration_mean,0.030084431
Animales__properties__concreteness_imputada_std,0.024177749
Animales__properties__sa_NP__promedio,0.022653649
Animales__timing__npauses,0.010132009
Animales__properties__log_frq_std,0.008366961
Animales__properties__sa_num_phon_std,0.0
Animales__properties__sa_num_phon_promedio,0.0
Animales__properties__concreteness_imputada_promedio,0.0
Animales__timing__nsyll,0.0
Animales__timing__speechrate,0.0
Animales__timing__syllable_duration_std,0.0
