feature,importance
Animales__properties__log_frq_promedio,0.20390166
Animales__properties__granularidad_std,0.15623574
Animales__properties__sa_NP__std,0.10377153
P__properties__sa_num_phon_promedio,0.10286174
P__properties__concreteness_imputada_std,0.100843176
Animales__properties__log_frq_std,0.097016215
Animales__properties__sa_num_phon_promedio,0.07701688
Animales__properties__sa_NP__promedio,0.048504915
Animales__properties__sa_num_syll_std,0.03418428
Animales__properties__sa_num_phon_std,0.026583737
P__properties__sa_NP__std,0.023018118
P__properties__granularidad_promedio,0.01956061
Animales__properties__concreteness_imputada_promedio,0.006501404
Animales__properties__sa_num_syll_promedio,0.0
P__properties__log_frq_promedio,0.0
P__properties__sa_NP__promedio,0.0
P__properties__sa_num_syll_std,0.0
P__properties__sa_num_syll_promedio,0.0
P__properties__sa_num_phon_std,0.0
Animales__properties__osv,0.0
P__properties__concreteness_imputada_promedio,0.0
P__properties__osv,0.0
P__properties__granularidad_std,0.0
