feature,importance
Animales__properties__sa_NP__promedio,0.1583756
Animales__properties__granularidad_std,0.09055054
P__properties__concreteness_imputada_std,0.07439051
P__properties__osv,0.06299957
P__properties__granularidad_std,0.060683046
Animales__properties__log_frq_std,0.057197466
P__properties__sa_NP__promedio,0.05706658
Animales__properties__sa_num_phon_std,0.056574464
P__properties__sa_num_syll_promedio,0.046692654
Animales__properties__sa_num_syll_promedio,0.046336357
P__properties__concreteness_imputada_promedio,0.042756487
P__properties__log_frq_std,0.041556064
Animales__properties__concreteness_imputada_promedio,0.036084097
Animales__properties__granularidad_promedio,0.020595482
P__properties__log_frq_promedio,0.019666426
Animales__properties__sa_num_phon_promedio,0.017717365
Animales__properties__concreteness_imputada_std,0.017390985
Animales__properties__log_frq_promedio,0.016586538
P__properties__sa_num_syll_std,0.0157689
Animales__properties__osv,0.0146693885
Animales__properties__sa_num_syll_std,0.014465029
P__properties__sa_num_phon_promedio,0.012029857
P__properties__sa_NP__std,0.0114372
P__properties__sa_num_phon_std,0.008409322
