feature,importance
P__timing__nsyll,0.12155548
Animales__timing__nsyll,0.113047384
P__properties__sa_num_syll_promedio,0.1087016
Animales__properties__concreteness_imputada_promedio,0.0964281
P__properties__log_frq_std,0.07653228
Animales__properties__granularidad_std,0.06061309
Animales__properties__sa_num_syll_promedio,0.04852279
P__timing__speechrate,0.043701172
Animales__timing__pause_duration_mean,0.038546693
P__properties__granularidad_promedio,0.036699317
Animales__properties__log_frq_std,0.034130916
Animales__timing__pause_duration_std,0.033358466
P__properties__sa_NP__std,0.02924446
P__properties__concreteness_imputada_promedio,0.022835327
Animales__timing__speechrate,0.021528272
P__properties__concreteness_imputada_std,0.020923274
P__timing__syllable_duration_std,0.01926994
P__properties__granularidad_std,0.017908467
Animales__properties__granularidad_promedio,0.01358884
P__properties__sa_num_phon_promedio,0.010069813
P__timing__pause_duration_mean,0.009692386
P__timing__pause_duration_std,0.00545911
Animales__properties__log_frq_promedio,0.0044246097
Animales__timing__syllable_duration_mean,0.003179849
P__timing__syllable_duration_mean,0.0030979991
P__properties__sa_num_phon_std,0.0027220866
Animales__properties__sa_num_phon_std,0.0019136545
Animales__properties__sa_NP__std,0.001863302
Animales__properties__sa_num_phon_promedio,0.00035420252
Animales__properties__concreteness_imputada_std,5.9043832e-05
Animales__properties__sa_NP__promedio,2.816667e-05
Animales__properties__sa_num_syll_std,0.0
P__properties__log_frq_promedio,0.0
P__properties__sa_num_syll_std,0.0
P__timing__npauses,0.0
Animales__timing__npauses,0.0
Animales__timing__syllable_duration_std,0.0
