feature,importance
Animales__vr__count,0.18239518
P__properties__sa_num_phon_std,0.11298981
P__timing__speechrate,0.0685485
Animales__properties__concreteness_imputada_std,0.05837816
P__timing__syllable_duration_mean,0.04926623
Animales__timing__syllable_duration_mean,0.048793428
P__properties__sa_num_syll_std,0.04559791
Animales__properties__sa_num_syll_std,0.041738767
Animales__properties__osv,0.04138495
Animales__properties__log_frq_promedio,0.04087352
P__properties__sa_num_phon_promedio,0.03718467
Animales__timing__nsyll,0.03468491
P__properties__concreteness_imputada_std,0.025542375
P__properties__granularidad_std,0.02436501
Animales__timing__pause_duration_std,0.024145173
P__timing__syllable_duration_std,0.021777652
Animales__properties__granularidad_std,0.021538405
Animales__properties__granularidad_promedio,0.0207867
P__vr__count,0.020534497
Animales__properties__sa_NP__promedio,0.019586742
P__properties__log_frq_std,0.018101914
P__properties__sa_num_syll_promedio,0.013243146
Animales__timing__pause_duration_mean,0.01174554
Animales__timing__npauses,0.00757829
P__timing__pause_duration_std,0.0072316164
Animales__timing__syllable_duration_std,0.0014205942
P__timing__pause_duration_mean,0.00056629477
Animales__properties__concreteness_imputada_promedio,0.0
Animales__properties__log_frq_std,0.0
Animales__properties__sa_num_syll_promedio,0.0
Animales__properties__sa_num_phon_promedio,0.0
Animales__properties__sa_num_phon_std,0.0
P__properties__granularidad_promedio,0.0
P__properties__osv,0.0
P__properties__concreteness_imputada_promedio,0.0
P__properties__sa_NP__promedio,0.0
P__properties__log_frq_promedio,0.0
P__timing__npauses,0.0
P__timing__nsyll,0.0
Animales__timing__speechrate,0.0
