feature,importance
Animales__vr__count,0.27432945
P__properties__sa_num_phon_std,0.20468716
Animales__properties__osv,0.10516706
P__vr__count,0.07163193
P__properties__sa_NP__std,0.06878559
Animales__properties__sa_num_syll_std,0.05067929
Animales__properties__granularidad_promedio,0.04044158
P__properties__concreteness_imputada_std,0.03770695
Animales__properties__log_frq_promedio,0.037149165
Animales__properties__sa_NP__std,0.031955782
Animales__properties__granularidad_std,0.03137028
P__properties__log_frq_std,0.018560454
P__properties__sa_num_phon_promedio,0.014466485
Animales__properties__sa_num_phon_promedio,0.006549833
Animales__properties__log_frq_std,0.0030167028
P__properties__osv,0.002977938
Animales__properties__concreteness_imputada_std,0.0005244072
Animales__properties__sa_num_syll_promedio,0.0
P__properties__log_frq_promedio,0.0
Animales__properties__concreteness_imputada_promedio,0.0
Animales__properties__sa_num_phon_std,0.0
P__properties__sa_num_syll_promedio,0.0
P__properties__concreteness_imputada_promedio,0.0
P__properties__sa_NP__promedio,0.0
P__properties__sa_num_syll_std,0.0
P__properties__granularidad_std,0.0
