feature,importance
P__timing__pause_duration_mean,0.2617294325328002
Animales__timing__speechrate,0.17612503066567273
Animales__timing__pause_duration_std,0.11258839523174734
Animales__timing__pause_duration_mean,0.102459866203346
P__timing__pause_duration_std,0.1019856450841431
P__timing__nsyll,0.0770906611954423
Animales__timing__nsyll,0.06678268126179301
P__timing__syllable_duration_mean,0.04342641004747605
Animales__timing__syllable_duration_std,0.036183008238917826
Animales__timing__syllable_duration_mean,0.012657544423044956
P__timing__speechrate,0.00567454821819617
Animales__timing__npauses,0.0032967768974205038
