feature,importance
P__timing__pause_duration_mean,0.19181025754188638
Animales__vr__count,0.14160368667480516
P__timing__nsyll,0.09972201363028804
Animales__timing__nsyll,0.09285921562192717
P__timing__pause_duration_std,0.08570620517515681
P__timing__speechrate,0.07116939628120506
Animales__timing__pause_duration_mean,0.06908500452636353
Animales__timing__speechrate,0.06619195565619304
Animales__timing__pause_duration_std,0.06461890552857029
Animales__timing__syllable_duration_std,0.04266260143013192
P__timing__npauses,0.023417405992551314
P__timing__syllable_duration_mean,0.023368018589072535
P__vr__count,0.022506638702723368
Animales__timing__syllable_duration_mean,0.0030310231238897885
P__timing__syllable_duration_std,0.0022476715252355284
