feature,importance
P__properties__sa_NP__promedio,0.22535187
P__properties__granularidad_std,0.13950491
P__properties__osv,0.10845547
P__properties__concreteness_imputada_std,0.09281456
P__properties__log_frq_promedio,0.0870366
P__properties__sa_num_syll_promedio,0.07629362
P__properties__granularidad_promedio,0.07602352
P__properties__sa_NP__std,0.06270102
P__properties__log_frq_std,0.04934112
P__properties__sa_num_phon_promedio,0.029715825
P__properties__sa_num_syll_std,0.027979167
P__properties__sa_num_phon_std,0.024782341
