feature,importance
P__timing__pause_duration_mean,0.21019483873818406
P__timing__speechrate,0.13872489076532138
P__timing__pause_duration_std,0.1043257631868529
P__timing__nsyll,0.09409833085646914
P__properties__sa_num_syll_promedio,0.0802854514795096
P__timing__npauses,0.07836061995276614
P__properties__log_frq_promedio,0.06160726306703197
P__properties__sa_num_phon_promedio,0.05826385479458036
P__properties__concreteness_imputada_std,0.036918576863384636
P__properties__sa_num_phon_std,0.026684667468949947
P__timing__syllable_duration_mean,0.02590049714519604
P__properties__sa_num_syll_std,0.020411030378267143
P__properties__osv,0.01933632693594522
P__properties__sa_NP__std,0.010024715498229702
P__properties__granularidad_promedio,0.008933105377563135
P__properties__concreteness_imputada_promedio,0.00840250992830753
P__properties__log_frq_std,0.005780868380965693
P__properties__sa_NP__promedio,0.005527715790652752
P__properties__granularidad_std,0.0036563804858383135
P__timing__syllable_duration_std,0.002562592905984241
