feature,importance
P__timing__npauses,0.21841356
P__properties__sa_NP__std,0.10916287
P__properties__osv,0.10452404
P__properties__granularidad_std,0.084257565
P__properties__concreteness_imputada_std,0.08327848
P__properties__concreteness_imputada_promedio,0.06725537
P__timing__syllable_duration_mean,0.05586469
P__properties__log_frq_std,0.052302055
P__properties__sa_num_syll_promedio,0.04985919
P__properties__sa_num_phon_std,0.031174416
P__properties__sa_NP__promedio,0.024373027
P__properties__sa_num_phon_promedio,0.02396712
P__properties__sa_num_syll_std,0.023642961
P__timing__nsyll,0.021854691
P__properties__log_frq_promedio,0.02160368
P__timing__speechrate,0.013731017
P__timing__pause_duration_std,0.011195676
P__properties__granularidad_promedio,0.003539521
