feature,importance
P__timing__speechrate,0.20046527426004598
P__timing__nsyll,0.193560565451102
P__timing__pause_duration_mean,0.12560705459575833
P__timing__npauses,0.08964015900745972
P__vr__count,0.07486473568331993
P__properties__sa_num_syll_promedio,0.0676366346237997
P__timing__pause_duration_std,0.048008385023162604
P__properties__sa_num_phon_promedio,0.04491987521831458
P__properties__sa_num_phon_std,0.02932711160555937
P__properties__sa_NP__std,0.027309057748451288
P__properties__log_frq_promedio,0.020757920033582462
P__properties__concreteness_imputada_promedio,0.018056465902696283
P__properties__granularidad_promedio,0.013785897914408006
P__properties__concreteness_imputada_std,0.010056104918172265
P__timing__syllable_duration_mean,0.009337969381262344
P__properties__sa_num_syll_std,0.007261565569759479
P__properties__log_frq_std,0.007187602684864347
P__properties__osv,0.005946354671846988
P__properties__sa_NP__promedio,0.0057317655089292605
P__timing__syllable_duration_std,0.0005395001975051041
