feature,importance
brain__norm_brain_lit__lHIP,0.2690948
brain__norm_brain_lit__lITG,0.22701193
brain__norm_brain_lit__rSTG,0.18396074
brain__norm_brain_lit__lSTG,0.05668039
brain__norm_brain_lit__lROL,0.050003964
brain__norm_brain_lit__rHIP,0.044825
brain__norm_brain_lit__rIFGoperc,0.042370282
brain__norm_brain_lit__rITG,0.038424876
brain__norm_brain_lit__lMCC,0.032324098
brain__norm_brain_lit__lIFGoperc,0.014808673
brain__norm_brain_lit__lTPOmid,0.010948947
brain__norm_brain_lit__rTPOsup,0.010226054
brain__norm_brain_lit__lPCC,0.009437572
brain__norm_brain_lit__rROL,0.0056487084
brain__norm_brain_lit__rREC,0.0042339694
brain__norm_brain_lit__rPFCventmed,0.0
brain__norm_brain_lit__rIFGtriang,0.0
brain__norm_brain_lit__lPFCventmed,0.0
brain__norm_brain_lit__rINS,0.0
brain__norm_brain_lit__rPHG,0.0
brain__norm_brain_lit__rMCC,0.0
brain__norm_brain_lit__rPCC,0.0
brain__norm_brain_lit__rPCUN,0.0
brain__norm_brain_lit__lTPOsup,0.0
brain__norm_brain_lit__lMTG,0.0
brain__norm_brain_lit__rMTG,0.0
