feature,importance
nps__mmse__Total_Temporal_Orientation,0.4002451
nps__mmse__Total_Spatial_Orientation,0.25010294
nps__executive__tmt_a_err,0.09483585
nps__mmse__Total_Memory,0.08566135
nps__executive__tmt_b,0.05696924
nps__mmse__Copy_Figure,0.042383607
nps__executive__tmt_a,0.031545665
nps__executive__tmt_b_err,0.022818865
nps__executive__digits_backward_span,0.0082056215
nps__executive__digits_forward_span,0.007231764
nps__mmse__Language_Written_Sentence,0.0
nps__mmse__Language_Written_Instruction,0.0
nps__mmse__Language_Pencil,0.0
nps__mmse__Language_Key,0.0
nps__mmse__Total_Attention,0.0
nps__mmse__Total_Concentration,0.0
nps__mmse__Language_Phrase,0.0
nps__mmse__Language_Verbal_Instruction,0.0
