feature,importance
nps__mmse__Total_Temporal_Orientation,0.4300782
nps__executive__tmt_a_err,0.25528762
nps__mmse__Total_Spatial_Orientation,0.23895437
nps__executive__tmt_b_err,0.018687429
nps__executive__tmt_b,0.01586786
nps__mmse__Copy_Figure,0.015141984
nps__mmse__Total_Memory,0.013756464
nps__executive__digits_forward_span,0.0063232523
nps__executive__digits_backward_span,0.005902823
nps__mmse__Language_Written_Instruction,0.0
nps__mmse__Language_Key,0.0
nps__mmse__Language_Pencil,0.0
nps__mmse__Language_Written_Sentence,0.0
nps__mmse__Total_Attention,0.0
nps__mmse__Language_Phrase,0.0
nps__mmse__Language_Verbal_Instruction,0.0
