feature,importance
nps__mmse__Total_Temporal_Orientation,0.3286845235833341
nps__mmse__Total_Spatial_Orientation,0.2447939208994069
nps__mmse__Language_Written_Sentence,0.17542263585969348
nps__mmse__Copy_Figure,0.06927286024945739
nps__mmse__Language_Phrase,0.06613188679261577
nps__mmse__Total_Memory,0.052929775814387944
nps__mmse__Language_Written_Instruction,0.023565074261341676
nps__mmse__Total_Concentration,0.019761889589472476
nps__mmse__Language_Verbal_Instruction,0.01653639478870156
nps__mmse__Total_Attention,0.0029010381615886057
nps__mmse__Language_Key,0.0
nps__mmse__Language_Pencil,0.0
