tasks,dimensions,y_label,bootstrap method,roc_auc,p_value_roc_auc,accuracy,p_value_accuracy,f1,p_value_f1,recall,p_value_recall,precision,p_value_precision,norm_expected_cost,p_value_norm_expected_cost,norm_cross_entropy,p_value_norm_cross_entropy
"[Animales, Animales]","[properties, properties__timing]",target,bca,"0.021, (-0.017, 0.072)",0.183,"0.006, (-0.039, 0.050)",0.392,"0.007, (-0.039, 0.058)",0.398,"0.009, (-0.052, 0.082)",0.402,"0.005, (-0.050, 0.058)",0.444,"-0.012, (-0.111, 0.087)",0.392,"-0.075, (-0.264, 0.046)",0.153
"[Animales, Animales]","[properties, timing]",target,bca,"0.145, (0.045, 0.254)",0.003,"0.117, (0.012, 0.208)",0.013,"0.179, (0.039, 0.298)",0.006,"0.245, (0.061, 0.388)",0.005,"0.070, (-0.037, 0.185)",0.126,"-0.233, (-0.424, 0.021)",0.013,"-0.272, (-0.504, 0.090)",0.04
"[Animales, Animales__P]","[properties, properties]",target,bca,"-0.007, (-0.050, 0.037)",0.343,"-0.020, (-0.067, 0.023)",0.178,"-0.027, (-0.075, 0.015)",0.101,"-0.048, (-0.108, 0.003)",0.042,"-0.004, (-0.058, 0.052)",0.424,"0.039, (-0.059, 0.135)",0.176,"0.028, (-0.127, 0.188)",0.341
"[Animales, Animales__P]","[properties, properties__timing]",target,bca,"0.051, (0.001, 0.119)",0.046,"0.033, (-0.018, 0.086)",0.124,"0.027, (-0.027, 0.080)",0.17,"0.009, (-0.057, 0.083)",0.413,"0.047, (-0.022, 0.117)",0.09,"-0.067, (-0.178, 0.059)",0.125,"-0.142, (-0.385, 0.029)",0.084
"[Animales, Animales__P]","[properties, timing]",target,bca,"0.159, (0.045, 0.273)",0.004,"0.117, (0.014, 0.213)",0.015,"0.110, (-0.006, 0.228)",0.035,"0.088, (-0.072, 0.242)",0.16,"0.133, (0.031, 0.251)",0.012,"-0.233, (-0.438, 0.020)",0.015,"-0.309, (-0.595, 0.029)",0.031
"[Animales, brain]","[properties, norm_brain_lit]",target,bca,"-0.062, (-0.190, 0.053)",0.155,"-0.077, (-0.192, 0.039)",0.102,"-0.086, (-0.210, 0.038)",0.09,"-0.112, (-0.278, 0.072)",0.104,"-0.058, (-0.190, 0.073)",0.191,"0.155, (-0.126, 0.391)",0.104,"0.195, (-0.270, 0.650)",0.195
"[Animales, connectivity]","[properties, networks]",target,bca,"0.191, (0.060, 0.311)",0.001,"0.158, (0.035, 0.264)",0.002,"0.160, (0.014, 0.285)",0.009,"0.152, (-0.042, 0.318)",0.047,"0.170, (0.037, 0.292)",0.0,"-0.315, (-0.527, -0.027)",0.002,"-0.207, (-0.496, 0.185)",0.111
"[Animales, nps]","[properties, executive]",target,bca,"0.045, (-0.076, 0.164)",0.234,"-0.008, (-0.121, 0.097)",0.458,"-0.006, (-0.128, 0.112)",0.455,"0.000, (-0.145, 0.165)",0.478,"-0.013, (-0.161, 0.139)",0.441,"0.015, (-0.219, 0.263)",0.458,"-0.024, (-0.297, 0.358)",0.429
"[Animales, nps]","[properties, executive__mmse]",target,bca,"-0.095, (-0.203, -0.019)",0.015,"-0.105, (-0.203, -0.020)",0.01,"-0.113, (-0.221, -0.029)",0.004,"-0.136, (-0.271, -0.029)",0.01,"-0.088, (-0.214, 0.028)",0.064,"0.209, (0.001, 0.400)",0.01,"0.303, (-0.031, 0.712)",0.04
"[Animales, nps]","[properties, mmse]",target,bca,"-0.114, (-0.227, -0.036)",0.007,"-0.100, (-0.188, -0.000)",0.022,"-0.096, (-0.219, 0.039)",0.067,"-0.026, (-0.200, 0.141)",0.371,"-0.202, (-0.343, -0.095)",0.0,"0.211, (-0.017, 0.430)",0.022,"0.331, (0.040, 0.719)",0.024
"[Animales, P]","[properties, properties]",target,bca,"0.169, (0.057, 0.284)",0.004,"0.120, (0.027, 0.208)",0.011,"0.108, (0.001, 0.204)",0.023,"0.079, (-0.083, 0.207)",0.142,"0.140, (0.048, 0.253)",0.006,"-0.239, (-0.433, 0.011)",0.011,"-0.435, (-0.815, -0.047)",0.014
"[Animales, P]","[properties, properties__timing]",target,bca,"0.177, (0.073, 0.284)",0.003,"0.097, (0.000, 0.195)",0.034,"0.092, (-0.021, 0.199)",0.058,"0.073, (-0.085, 0.215)",0.177,"0.112, (0.011, 0.240)",0.024,"-0.194, (-0.413, 0.046)",0.034,"-0.330, (-0.601, 0.068)",0.038
"[Animales, P]","[properties, timing]",target,bca,"0.188, (0.056, 0.328)",0.004,"0.161, (0.035, 0.269)",0.005,"0.162, (0.031, 0.296)",0.012,"0.152, (-0.032, 0.307)",0.052,"0.174, (0.042, 0.309)",0.007,"-0.321, (-0.562, -0.023)",0.005,"-0.190, (-0.509, 0.220)",0.129
"[Animales, Animales]","[properties__timing, timing]",target,bca,"0.124, (0.035, 0.201)",0.003,"0.111, (0.027, 0.185)",0.001,"0.172, (0.059, 0.274)",0.001,"0.236, (0.094, 0.362)",0.002,"0.065, (-0.008, 0.155)",0.053,"-0.221, (-0.380, -0.031)",0.001,"-0.197, (-0.413, 0.158)",0.09
"[Animales, Animales__P]","[properties__timing, properties]",target,bca,"-0.027, (-0.087, 0.023)",0.167,"-0.026, (-0.085, 0.034)",0.195,"-0.034, (-0.096, 0.025)",0.127,"-0.058, (-0.136, 0.012)",0.062,"-0.009, (-0.078, 0.065)",0.405,"0.052, (-0.086, 0.183)",0.196,"0.103, (-0.082, 0.322)",0.16
"[Animales, Animales__P]","[properties__timing, properties__timing]",target,bca,"0.030, (-0.006, 0.077)",0.076,"0.027, (-0.005, 0.068)",0.068,"0.020, (-0.013, 0.057)",0.131,"0.000, (-0.037, 0.041)",0.477,"0.042, (-0.000, 0.098)",0.036,"-0.055, (-0.145, 0.025)",0.069,"-0.067, (-0.220, 0.082)",0.209
"[Animales, Animales__P]","[properties__timing, timing]",target,bca,"0.138, (0.046, 0.231)",0.001,"0.111, (0.030, 0.196)",0.007,"0.103, (0.002, 0.199)",0.025,"0.079, (-0.065, 0.219)",0.142,"0.129, (0.055, 0.235)",0.0,"-0.221, (-0.396, -0.020)",0.007,"-0.234, (-0.452, 0.100)",0.044
"[Animales, brain]","[properties__timing, norm_brain_lit]",target,bca,"-0.083, (-0.203, 0.032)",0.09,"-0.083, (-0.193, 0.037)",0.082,"-0.093, (-0.211, 0.032)",0.069,"-0.121, (-0.277, 0.049)",0.091,"-0.063, (-0.200, 0.058)",0.165,"0.167, (-0.123, 0.409)",0.082,"0.270, (-0.177, 0.712)",0.118
"[Animales, connectivity]","[properties__timing, networks]",target,bca,"0.170, (0.036, 0.306)",0.008,"0.152, (0.027, 0.255)",0.005,"0.153, (0.024, 0.275)",0.01,"0.142, (-0.031, 0.300)",0.042,"0.165, (0.028, 0.293)",0.005,"-0.303, (-0.522, -0.003)",0.005,"-0.132, (-0.454, 0.287)",0.213
"[Animales, nps]","[properties__timing, executive]",target,bca,"0.025, (-0.088, 0.144)",0.334,"-0.014, (-0.110, 0.092)",0.389,"-0.013, (-0.108, 0.089)",0.387,"-0.009, (-0.124, 0.105)",0.435,"-0.017, (-0.154, 0.128)",0.401,"0.027, (-0.207, 0.236)",0.389,"0.050, (-0.229, 0.423)",0.382
"[Animales, nps]","[properties__timing, executive__mmse]",target,bca,"-0.116, (-0.224, -0.041)",0.004,"-0.111, (-0.194, -0.033)",0.006,"-0.120, (-0.216, -0.040)",0.001,"-0.145, (-0.262, -0.041)",0.004,"-0.092, (-0.213, 0.009)",0.05,"0.221, (0.028, 0.401)",0.006,"0.378, (0.057, 0.760)",0.014
"[Animales, nps]","[properties__timing, mmse]",target,bca,"-0.125, (-0.242, -0.047)",0.003,"-0.093, (-0.170, -0.001)",0.02,"-0.093, (-0.203, 0.029)",0.054,"-0.033, (-0.176, 0.124)",0.33,"-0.184, (-0.321, -0.080)",0.0,"0.196, (-0.027, 0.378)",0.019,"0.375, (0.078, 0.778)",0.01
"[Animales, P]","[properties__timing, properties]",target,bca,"0.148, (0.034, 0.260)",0.009,"0.114, (0.016, 0.206)",0.014,"0.101, (-0.007, 0.196)",0.029,"0.070, (-0.086, 0.190)",0.177,"0.135, (0.037, 0.240)",0.007,"-0.227, (-0.412, 0.025)",0.013,"-0.360, (-0.741, 0.051)",0.044
