random_seed,fold,threshold,roc_auc,n_neighbors,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],,11,1,1,1,1,1,1
3,1,[None],,23,1,1,1,1,1,1
3,2,[None],,5,1,1,1,1,1,1
9,0,[None],,14,1,1,1,1,1,1
9,1,[None],,31,1,1,1,1,1,1
9,2,[None],,13,1,1,1,1,1,1
27,0,[None],,5,1,1,1,1,1,1
27,1,[None],,9,1,1,1,1,1,1
27,2,[None],,4,1,1,1,1,1,1
81,0,[None],,29,1,1,1,1,1,1
81,1,[None],,9,1,1,1,1,1,1
81,2,[None],,34,1,1,1,1,1,1
243,0,[None],,6,1,1,1,1,1,1
243,1,[None],,18,1,1,1,1,1,1
243,2,[None],,10,1,1,1,1,1,1
729,0,[None],,33,1,1,1,1,1,1
729,1,[None],,13,1,1,1,1,1,1
729,2,[None],,8,1,1,1,1,1,1
2187,0,[None],,11,1,1,1,1,1,1
2187,1,[None],,10,1,1,1,1,1,1
2187,2,[None],,31,1,1,1,1,1,1
6561,0,[None],,10,1,1,1,1,1,1
6561,1,[None],,1,1,1,1,1,1,1
6561,2,[None],,33,1,1,1,1,1,1
19683,0,[None],,36,1,1,1,1,1,1
19683,1,[None],,1,1,1,1,1,1,1
19683,2,[None],,9,1,1,1,1,1,1
59049,0,[None],,27,1,1,1,1,1,1
59049,1,[None],,28,1,1,1,1,1,1
59049,2,[None],,9,1,1,1,1,1,1
