random_seed,fold,threshold,roc_auc,C,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],,1.4940977175162453,1,1,1,1,1,1
3,1,[None],,0.6287278555580958,1,1,1,1,1,1
3,2,[None],,12.203911280654397,1,1,1,1,1,1
9,0,[None],,0.0001,1,1,1,1,1,1
9,1,[None],,0.5169900506666086,1,1,1,1,1,1
9,2,[None],,2.5411764136994814,1,1,1,1,1,1
27,0,[None],,0.7169404603450562,1,1,1,1,1,1
27,1,[None],,0.0001,1,1,1,1,1,1
27,2,[None],,0.0001,1,1,1,1,1,1
81,0,[None],,2.6676014808364132,1,1,1,1,1,1
81,1,[None],,0.5847019428478387,1,1,1,1,1,1
81,2,[None],,0.0001,1,1,1,1,1,1
243,0,[None],,0.0001,1,1,1,1,1,1
243,1,[None],,3.4389486726697283,1,1,1,1,1,1
243,2,[None],,1.1608292779946867,1,1,1,1,1,1
729,0,[None],,1.2056558619419495,1,1,1,1,1,1
729,1,[None],,15.601948442379607,1,1,1,1,1,1
729,2,[None],,4.301419781099587,1,1,1,1,1,1
2187,0,[None],,0.650792618433951,1,1,1,1,1,1
2187,1,[None],,1.5448113626217108,1,1,1,1,1,1
2187,2,[None],,0.013621429469909397,1,1,1,1,1,1
6561,0,[None],,0.8983334678601989,1,1,1,1,1,1
6561,1,[None],,0.0001,1,1,1,1,1,1
6561,2,[None],,0.0001,1,1,1,1,1,1
19683,0,[None],,95.07143556956098,1,1,1,1,1,1
19683,1,[None],,0.0001,1,1,1,1,1,1
19683,2,[None],,3.4389486726697283,1,1,1,1,1,1
59049,0,[None],,0.0001,1,1,1,1,1,1
59049,1,[None],,2.0585473711308153,1,1,1,1,1,1
59049,2,[None],,0.9516700147781547,1,1,1,1,1,1
