random_seed,fold,threshold,roc_auc,C,gamma,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
3,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
3,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
9,0,[None],,31.29216527067838,0.08439949695685581,1,1,1,1,1,1
9,1,[None],,23.856558012044644,0.346043054183031,1,1,1,1,1,1
9,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
27,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
27,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
27,2,[None],,76.42615521527705,0.4153549777060884,1,1,1,1,1,1
81,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
81,1,[None],,73.19942098174633,5986.584882104518,1,1,1,1,1,1
81,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
243,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
243,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
243,2,[None],,73.19942098174633,5986.584882104518,1,1,1,1,1,1
729,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
729,1,[None],,36.27486300276563,1.604542666610715,1,1,1,1,1,1
729,2,[None],,78.88449732698123,0.0001,1,1,1,1,1,1
2187,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
2187,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
2187,2,[None],,73.42028904021542,0.0001,1,1,1,1,1,1
6561,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
6561,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
6561,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
19683,0,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
19683,1,[None],,75.22325986390754,0.5635418030213074,1,1,1,1,1,1
19683,2,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
59049,0,[None],,73.19942098174633,5986.584882104518,1,1,1,1,1,1
59049,1,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1
59049,2,[None],,5.407024110740064,38.23991525756124,1,1,1,1,1,1
