random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],,2,356,0.7610242635682806,1,1,1,1,1,1
3,1,[None],,8,430,0.007945178400659513,1,1,1,1,1,1
3,2,[None],,1,407,0.7071504865037695,1,1,1,1,1,1
9,0,[None],,1,17,0.5445871403300756,1,1,1,1,1,1
9,1,[None],,7,11,0.9699399423098324,1,1,1,1,1,1
9,2,[None],,7,469,0.8949325230772212,1,1,1,1,1,1
27,0,[None],,4,392,0.2571004663886985,1,1,1,1,1,1
27,1,[None],,6,84,0.019703483762081992,1,1,1,1,1,1
27,2,[None],,1,454,0.2595212016184169,1,1,1,1,1,1
81,0,[None],,1,16,0.5756002383523973,1,1,1,1,1,1
81,1,[None],,1,14,0.6260863783908213,1,1,1,1,1,1
81,2,[None],,1,16,0.6367740008525166,1,1,1,1,1,1
243,0,[None],,8,430,0.007945178400659513,1,1,1,1,1,1
243,1,[None],,3,19,0.609954769645917,1,1,1,1,1,1
243,2,[None],,5,61,0.49892635345363084,1,1,1,1,1,1
729,0,[None],,9,482,0.8085889507683447,1,1,1,1,1,1
729,1,[None],,1,15,0.6441172210093493,1,1,1,1,1,1
729,2,[None],,8,82,0.004918208020618552,1,1,1,1,1,1
2187,0,[None],,8,430,0.007945178400659513,1,1,1,1,1,1
2187,1,[None],,6,86,0.06598654139229423,1,1,1,1,1,1
2187,2,[None],,1,433,0.6015138967314656,1,1,1,1,1,1
6561,0,[None],,8,85,0.001,1,1,1,1,1,1
6561,1,[None],,1,433,0.6015138967314656,1,1,1,1,1,1
6561,2,[None],,1,433,0.6015138967314656,1,1,1,1,1,1
19683,0,[None],,8,218,0.001,1,1,1,1,1,1
19683,1,[None],,1,407,0.7071504865037695,1,1,1,1,1,1
19683,2,[None],,1,16,0.6910147142798149,1,1,1,1,1,1
59049,0,[None],,1,16,0.6367740008525166,1,1,1,1,1,1
59049,1,[None],,1,454,0.2595212016184169,1,1,1,1,1,1
59049,2,[None],,1,345,0.4150513484610965,1,1,1,1,1,1
