random_seed,fold,threshold,roc_auc,n_neighbors,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],0.8419421487603305,11,1,0,0,1,1,1
3,1,[None],0.884297520661157,23,1,0,1,0,1,1
3,2,[None],0.8140495867768595,5,0,0,1,1,0,1
9,0,[None],0.9245867768595041,14,1,1,1,0,1,1
9,1,[None],0.743801652892562,31,1,1,1,1,1,0
9,2,[None],0.8274793388429752,13,1,1,1,0,1,1
27,0,[None],0.8171487603305785,5,1,0,1,1,1,1
27,1,[None],0.9101239669421487,9,0,0,1,0,1,1
27,2,[None],0.7964876033057852,4,1,1,1,1,1,1
81,0,[None],0.8729338842975206,29,0,1,1,1,1,1
81,1,[None],0.8367768595041323,9,0,0,1,1,1,1
81,2,[None],0.8192148760330579,34,1,1,1,1,1,0
243,0,[None],0.8202479338842975,6,1,0,1,1,1,1
243,1,[None],0.881198347107438,18,1,1,1,1,1,0
243,2,[None],0.7933884297520661,10,1,1,1,1,1,0
729,0,[None],0.8295454545454545,33,1,1,1,1,1,1
729,1,[None],0.8357438016528925,13,0,0,1,0,1,1
729,2,[None],0.8925619834710744,8,1,1,0,1,1,1
2187,0,[None],0.8543388429752066,11,0,0,1,0,1,1
2187,1,[None],0.8853305785123967,10,1,0,1,0,1,0
2187,2,[None],0.8605371900826446,31,1,1,1,0,1,0
6561,0,[None],0.8894628099173554,10,1,1,0,0,1,1
6561,1,[None],0.8409090909090908,1,1,1,1,1,1,1
6561,2,[None],0.8202479338842974,33,1,0,1,1,1,0
19683,0,[None],0.7995867768595041,36,1,1,1,1,1,1
19683,1,[None],0.8636363636363636,1,1,1,1,1,1,1
19683,2,[None],0.8305785123966941,9,1,1,1,1,1,1
59049,0,[None],0.8894628099173554,27,1,1,1,1,1,1
59049,1,[None],0.8068181818181819,28,1,1,1,1,1,1
59049,2,[None],0.8192148760330579,9,1,1,1,1,1,0
