random_seed,fold,threshold,roc_auc,C,gamma,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1
3,1,[None],0.643595041322314,37.45407443072437,9507.14306902773,0,0,1,1,0,1
3,2,[None],0.6425619834710743,37.45407443072437,9507.14306902773,0,1,1,0,0,0
9,0,[None],0.915289256198347,71.23957035554882,0.0001,0,1,1,0,1,0
9,1,[None],0.8264462809917356,67.76826719850646,0.36595178984271937,1,1,1,1,0,1
9,2,[None],0.6425619834710744,73.19942098174633,5986.584882104518,0,0,1,0,0,1
27,0,[None],0.7159090909090909,37.45407443072437,9507.14306902773,1,1,0,0,0,0
27,1,[None],0.6590909090909092,37.45407443072437,9507.14306902773,0,1,0,1,0,1
27,2,[None],0.7913223140495869,14.958204278556549,0.9410211045549398,1,1,0,0,1,1
81,0,[None],0.8884297520661157,74.41414951732527,0.42963403115681476,1,0,1,1,1,1
81,1,[None],0.6900826446280992,37.45407443072437,9507.14306902773,1,1,0,1,0,0
81,2,[None],0.6528925619834711,73.19942098174633,5986.584882104518,0,0,1,1,0,0
243,0,[None],0.8574380165289256,37.20664310170819,1.1601750250963059,1,1,1,0,1,1
243,1,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1
243,2,[None],0.7913223140495869,69.11729208325818,0.45070152482882675,1,0,1,1,1,1
729,0,[None],0.3574380165289256,66.70201139946643,0.0001,1,1,1,1,1,0
729,1,[None],0.6776859504132231,66.00394104196212,2.421892599512741,1,1,1,1,1,1
729,2,[None],0.4483471074380166,10.734618382261864,109.96299165658459,1,1,1,1,1,1
2187,0,[None],0.6828512396694215,73.19942098174633,5986.584882104518,1,1,0,1,0,1
2187,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1
2187,2,[None],0.6921487603305785,37.45407443072437,9507.14306902773,0,0,1,1,0,0
6561,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1
6561,1,[None],0.7066115702479339,37.45407443072437,9507.14306902773,1,1,0,1,0,0
6561,2,[None],0.8254132231404958,73.19942098174633,5986.584882104518,1,1,0,1,0,0
19683,0,[None],0.5444214876033058,37.45407443072437,9507.14306902773,1,1,0,1,1,1
19683,1,[None],0.8884297520661156,75.4023757402964,0.5193409926539156,1,1,1,0,1,1
19683,2,[None],0.7789256198347106,37.45407443072437,9507.14306902773,1,1,0,1,0,0
59049,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1
59049,1,[None],0.8491735537190082,21.15997586149729,2.8887454147770617,1,0,1,1,1,1
59049,2,[None],0.5444214876033057,37.45407443072437,9507.14306902773,1,1,0,1,1,1
