random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],0.8181818181818182,2,356,0.7610242635682806,1,1,1,1,1,1
3,1,[None],0.793388429752066,8,430,0.007945178400659513,1,1,1,1,1,0
3,2,[None],0.9204545454545455,1,407,0.7071504865037695,1,0,1,0,1,0
9,0,[None],0.890495867768595,1,17,0.5445871403300756,1,1,1,1,1,1
9,1,[None],0.7376033057851239,7,11,0.9699399423098324,1,1,1,1,1,1
9,2,[None],0.8305785123966941,7,469,0.8949325230772212,1,1,1,1,1,1
27,0,[None],0.8130165289256198,4,392,0.2571004663886985,1,1,1,1,1,1
27,1,[None],0.8636363636363638,6,84,0.019703483762081992,1,1,1,1,1,1
27,2,[None],0.7634297520661157,1,454,0.2595212016184169,1,1,1,1,1,0
81,0,[None],0.8533057851239669,1,16,0.5756002383523973,0,0,1,0,1,1
81,1,[None],0.847107438016529,1,14,0.6260863783908213,0,0,1,0,1,1
81,2,[None],0.8026859504132231,1,16,0.6367740008525166,0,0,0,1,1,0
243,0,[None],0.8161157024793388,8,430,0.007945178400659513,1,1,1,0,1,1
243,1,[None],0.9256198347107437,3,19,0.609954769645917,1,1,1,1,1,1
243,2,[None],0.8068181818181819,5,61,0.49892635345363084,1,1,1,1,1,0
729,0,[None],0.8223140495867769,9,482,0.8085889507683447,1,1,1,1,1,1
729,1,[None],0.7871900826446281,1,15,0.6441172210093493,1,1,1,1,1,1
729,2,[None],0.8636363636363636,8,82,0.004918208020618552,1,1,1,1,1,1
2187,0,[None],0.8316115702479339,8,430,0.007945178400659513,1,0,1,1,1,1
2187,1,[None],0.8305785123966942,6,86,0.06598654139229423,1,1,1,0,0,1
2187,2,[None],0.8553719008264462,1,433,0.6015138967314656,0,1,1,0,1,1
6561,0,[None],0.8956611570247933,8,85,0.001,1,1,1,1,1,1
6561,1,[None],0.8946280991735537,1,433,0.6015138967314656,1,1,1,0,1,1
6561,2,[None],0.8636363636363636,1,433,0.6015138967314656,1,0,1,1,1,0
19683,0,[None],0.8502066115702479,8,218,0.001,1,0,1,1,1,0
19683,1,[None],0.9256198347107437,1,407,0.7071504865037695,1,0,0,1,1,1
19683,2,[None],0.7985537190082646,1,16,0.6910147142798149,0,0,1,1,1,1
59049,0,[None],0.8295454545454546,1,16,0.6367740008525166,1,0,0,0,1,0
59049,1,[None],0.8491735537190083,1,454,0.2595212016184169,1,1,1,1,1,0
59049,2,[None],0.8605371900826446,1,345,0.4150513484610965,1,1,1,1,1,0
