random_seed,fold,threshold,roc_auc,n_neighbors,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],0.6239669421487603,11,1,1,0,1,1,1
3,1,[None],0.5289256198347106,24,1,1,1,1,1,1
3,2,[None],0.6776859504132231,37,0,1,0,1,1,1
9,0,[None],0.5,40,1,1,1,1,1,1
9,1,[None],0.5774793388429752,32,1,1,1,1,1,1
9,2,[None],0.5599173553719008,34,1,1,1,1,1,1
27,0,[None],0.5516528925619836,38,1,1,1,1,1,1
27,1,[None],0.5805785123966943,36,1,1,1,0,1,1
27,2,[None],0.7293388429752066,37,1,1,0,1,1,1
81,0,[None],0.6683884297520661,19,1,1,1,1,1,1
81,1,[None],0.5,40,1,1,1,1,1,1
81,2,[None],0.5702479338842975,27,1,1,1,1,1,1
243,0,[None],0.5723140495867768,32,0,1,1,1,0,0
243,1,[None],0.665289256198347,35,1,1,1,1,1,1
243,2,[None],0.5454545454545454,39,1,1,1,1,1,1
729,0,[None],0.6053719008264462,22,1,1,1,1,1,1
729,1,[None],0.6260330578512396,38,1,1,1,1,1,0
729,2,[None],0.5681818181818181,39,1,1,1,0,1,1
2187,0,[None],0.6363636363636365,1,1,0,1,0,0,0
2187,1,[None],0.5547520661157025,25,1,1,1,1,1,1
2187,2,[None],0.6043388429752067,38,1,1,1,1,0,1
6561,0,[None],0.5888429752066116,35,1,1,1,1,0,1
6561,1,[None],0.6043388429752066,36,1,1,1,1,1,1
6561,2,[None],0.6921487603305786,34,1,1,0,1,1,1
19683,0,[None],0.6869834710743802,27,0,1,1,1,1,1
19683,1,[None],0.5733471074380165,30,1,1,1,1,0,1
19683,2,[None],0.6053719008264464,37,1,1,1,1,1,1
59049,0,[None],0.6508264462809917,34,1,1,1,1,0,1
59049,1,[None],0.6528925619834711,38,1,1,1,1,1,0
59049,2,[None],0.606404958677686,29,1,1,1,1,1,0
