random_seed,fold,threshold,roc_auc,C,gamma,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err
3,0,[None],0.7210743801652892,8.229158278011823,37.20060140482564,0,1,1,1,1,1
3,1,[None],0.8564049586776861,3.355523365817482,37.58301878803719,0,0,0,1,1,1
3,2,[None],0.6043388429752066,4.120965453285054,425.52784181686883,1,0,0,1,1,1
9,0,[None],0.7933884297520661,8.50044426829945,37.904081903686226,0,0,1,0,1,1
9,1,[None],0.6053719008264463,97.49027547449475,565.9870780369561,1,0,1,0,0,1
9,2,[None],0.7417355371900827,5.586771691438382,37.520103308159385,0,1,1,0,1,1
27,0,[None],0.9152892561983471,65.67564067184937,422.69003813244615,0,0,0,1,1,1
27,1,[None],0.7128099173553719,100.0,431.2437669444327,0,0,1,0,1,1
27,2,[None],0.5444214876033057,37.45407443072437,9507.14306902773,1,1,1,1,0,1
81,0,[None],0.7138429752066116,63.92292846684663,420.22575861575336,1,1,0,1,1,1
81,1,[None],0.8047520661157026,15.250147319801126,37.10231131079739,0,0,1,1,1,1
81,2,[None],0.8966942148760331,18.058699989463506,0.29359967629087586,0,0,1,0,1,1
243,0,[None],0.7520661157024793,53.44844343654234,120.00121380307112,0,0,0,1,1,1
243,1,[None],0.7737603305785123,70.03558720049959,363.5606678711641,0,1,0,0,1,1
243,2,[None],0.6828512396694215,53.925925652111474,118.08697631420696,1,0,1,1,0,1
729,0,[None],0.6022727272727273,69.35729893894556,452.0060566700503,1,1,1,1,0,0
729,1,[None],0.743801652892562,45.52367460633242,3.6173082815607005,0,1,1,1,1,1
729,2,[None],0.6363636363636365,61.185328286948476,1394.9386925710323,1,1,0,1,0,1
2187,0,[None],0.5444214876033058,37.45407443072437,9507.14306902773,1,1,1,1,0,1
2187,1,[None],0.6642561983471074,52.803640317791114,121.20328438156513,1,0,1,0,0,1
2187,2,[None],0.7696280991735536,58.6519524839243,464.12133344166705,0,0,0,0,1,1
6561,0,[None],0.7200413223140496,79.85261614051345,214.68959224926186,0,1,0,0,0,1
6561,1,[None],0.7727272727272727,3.595255334904613,27.862023070151423,0,0,1,1,1,1
6561,2,[None],0.6869834710743802,11.548667979127686,35.58527440701708,1,1,1,1,1,0
19683,0,[None],0.6549586776859504,100.0,520.7905034685232,0,1,1,0,0,1
19683,1,[None],0.756198347107438,19.02293817790886,4.115187244019107,0,1,1,1,1,1
19683,2,[None],0.6694214876033058,100.0,54.026964529838395,1,1,1,1,1,0
59049,0,[None],0.7045454545454546,8.849341355941744,1959.8287045931659,1,1,0,1,1,1
59049,1,[None],0.6239669421487604,58.6333031761729,464.3681483608829,1,0,1,0,0,1
59049,2,[None],0.7252066115702479,53.262711178111616,120.05122090703166,0,0,0,1,1,1
