random_seed,fold,threshold,roc_auc,n_neighbors,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.9287190082644627,34,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],0.990702479338843,7,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.9700413223140496,22,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
9,0,[None],0.9979338842975207,20,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
9,1,[None],0.9710743801652892,9,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0
9,2,[None],0.9690082644628099,20,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0
27,0,[None],0.9669421487603306,6,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
27,1,[None],0.987603305785124,22,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1
27,2,[None],0.9659090909090909,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
81,0,[None],0.9648760330578513,13,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
81,1,[None],0.9493801652892562,21,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.9380165289256198,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
243,0,[None],0.9886363636363636,7,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
243,1,[None],0.9876033057851239,15,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1
243,2,[None],0.9297520661157024,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],0.9721074380165289,30,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
729,1,[None],0.96900826446281,16,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
729,2,[None],0.9958677685950412,6,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
2187,0,[None],0.9493801652892562,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],0.9493801652892562,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.96900826446281,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.990702479338843,8,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],0.9576446280991735,14,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0
6561,2,[None],0.9731404958677686,18,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
19683,0,[None],0.9700413223140495,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.9400826446280992,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.9948347107438017,18,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1
59049,0,[None],0.9700413223140496,10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
59049,1,[None],0.9545454545454546,5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
59049,2,[None],0.9710743801652894,9,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
