random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.9442148760330579,2,23,0.3260050004325011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,1,[None],0.9772727272727273,6,443,0.4727427102367873,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.9793388429752066,1,117,0.6411794277159972,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
9,0,[None],0.9752066115702479,1,114,0.42768068083763006,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
9,1,[None],0.9669421487603306,6,443,0.4727427102367873,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
9,2,[None],0.9586776859504132,2,23,0.3260050004325011,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
27,0,[None],0.9462809917355371,3,39,0.29046170146085426,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.981404958677686,4,485,0.9624848476471691,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
27,2,[None],0.9442148760330579,2,23,0.3260050004325011,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
81,0,[None],0.9834710743801652,6,86,0.06598654139229423,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
81,1,[None],0.9628099173553719,7,11,0.9699399423098324,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.9421487603305785,5,470,0.43310997043024463,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
243,0,[None],0.9834710743801653,3,39,0.38104346012192003,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1
243,1,[None],0.9865702479338844,4,136,0.8289087716427774,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],0.9545454545454545,4,58,0.8632403224497179,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
729,0,[None],0.9834710743801653,9,482,0.8085889507683447,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
729,1,[None],0.9173553719008264,1,433,0.6015138967314656,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
729,2,[None],0.9710743801652892,2,357,0.7690499416573949,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
2187,0,[None],0.9648760330578513,6,86,0.06598654139229423,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
2187,1,[None],0.9731404958677686,4,61,0.49568173320115894,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
2187,2,[None],0.9979338842975206,1,435,0.3095070357755295,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.9669421487603306,1,345,0.4150513484610965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],0.9628099173553719,1,453,0.699167776994191,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
6561,2,[None],0.9710743801652892,8,155,0.5387863943912888,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
19683,0,[None],0.9359504132231405,6,156,0.520547953156633,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.9173553719008265,6,369,0.8987598480537784,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],1.0,6,443,0.7965501756519566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
59049,0,[None],0.987603305785124,1,328,0.9028091403563189,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],0.9400826446280991,5,214,0.0348511506006174,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
59049,2,[None],0.9669421487603306,1,454,0.2595212016184169,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1
