random_seed,fold,threshold,roc_auc,n_neighbors,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.6580578512396694,7,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
3,1,[None],0.5909090909090909,39,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
3,2,[None],0.6332644628099173,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],0.5650826446280992,36,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
9,1,[None],0.5,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.6446280991735538,37,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
27,0,[None],0.5495867768595042,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.6280991735537189,33,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
27,2,[None],0.6590909090909091,39,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
81,0,[None],0.6508264462809917,5,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
81,1,[None],0.6590909090909091,39,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
81,2,[None],0.6022727272727273,37,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
243,0,[None],0.6301652892561984,38,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
243,1,[None],0.6973140495867769,34,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
243,2,[None],0.5619834710743802,36,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],0.6033057851239669,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],0.7045454545454545,38,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
729,2,[None],0.7076446280991735,38,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.6725206611570248,13,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],0.6198347107438016,37,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
2187,2,[None],0.6012396694214877,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
6561,0,[None],0.5506198347107438,30,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
6561,1,[None],0.6167355371900825,36,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
6561,2,[None],0.6363636363636364,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
19683,0,[None],0.6260330578512396,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.5661157024793388,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.6570247933884298,23,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
59049,0,[None],0.700413223140496,32,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
59049,1,[None],0.6446280991735538,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
59049,2,[None],0.578512396694215,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
