random_seed,fold,threshold,roc_auc,C,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.6900826446280992,4.6451366269585,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1
3,1,[None],0.49380165289256195,73.19942098174633,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0
3,2,[None],0.5413223140495868,52.475690687580624,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
9,0,[None],0.6797520661157025,2.0585473711308153,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0
9,1,[None],0.7045454545454546,3.653831583705733,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0
9,2,[None],0.6993801652892562,31.171176437833484,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1
27,0,[None],0.6384297520661157,2.6225729681242402,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
27,1,[None],0.609504132231405,95.07143556956098,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
27,2,[None],0.6260330578512396,6.505252793368653,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0
81,0,[None],0.8274793388429752,86.61762795987894,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1
81,1,[None],0.4927685950413223,95.07143556956098,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0
81,2,[None],0.6900826446280992,0.475548124378811,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
243,0,[None],0.5909090909090909,0.846310072961868,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0
243,1,[None],0.7747933884297521,41.81904195287234,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0
243,2,[None],0.5950413223140496,15.601948442379607,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0
729,0,[None],0.7128099173553719,96.99098822521421,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0
729,1,[None],0.6136363636363635,2.975948378948675,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
729,2,[None],0.6921487603305785,4.6451366269585,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
2187,0,[None],0.6756198347107438,4.6451366269585,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1
2187,1,[None],0.6198347107438017,4.6451366269585,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0
2187,2,[None],0.6880165289256198,0.35139274531784176,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1
6561,0,[None],0.5795454545454546,94.8885588367796,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0
6561,1,[None],0.8016528925619835,4.6451366269585,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0
6561,2,[None],0.6177685950413223,0.19202160438034196,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0
19683,0,[None],0.6590909090909091,9.767301633426985,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0
19683,1,[None],0.7272727272727273,1.6740673163187991,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1
19683,2,[None],0.6549586776859504,0.0001,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1
59049,0,[None],0.7644628099173555,0.0001,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1
59049,1,[None],0.6838842975206612,32.333646933231094,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0
59049,2,[None],0.7169421487603306,5.103234990075248,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0
