random_seed,fold,threshold,roc_auc,C,gamma,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.7799586776859504,8.10897137809445,37.14696841031121,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1
9,0,[None],0.7407024793388429,14.895573297840127,21.627888836673595,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1
9,1,[None],0.5,73.19942098174633,5986.584882104518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.5898760330578512,59.24149764474736,464.504222554936,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],0.7913223140495868,8.229158278011823,37.20060140482564,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1
27,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.6074380165289257,8.450827771408358,36.981368369979656,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0
81,1,[None],0.8657024793388429,33.089869395462436,635.5835965044014,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0
81,2,[None],0.7613636363636365,10.674869933252339,35.4930569016513,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1
243,0,[None],0.8512396694214877,8.229158278011823,37.20060140482564,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
243,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],0.8388429752066117,59.24149764474736,464.504222554936,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1
729,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],0.8326446280991736,15.856709461056413,25.915070235480854,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
729,2,[None],0.5991735537190083,8.229158278011823,37.20060140482564,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2187,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],0.743801652892562,15.689457519544257,7.670158316730878,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0
2187,2,[None],0.8212809917355371,11.096493663216712,20.83850664521283,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
6561,0,[None],0.8243801652892562,8.229158278011823,37.20060140482564,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1
6561,1,[None],0.768595041322314,37.273285001763064,1.6294603819606277,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1
6561,2,[None],0.7964876033057852,37.56248495138637,1.573942121596386,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
19683,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.725206611570248,38.15192111136173,1.1133593605398104,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0
19683,2,[None],0.7190082644628099,8.861541121739744,36.81812888706929,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1
59049,0,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],0.5,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],0.78099173553719,8.229158278011823,37.20060140482564,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0
