random_seed,fold,threshold,roc_auc,n_neighbors,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],,6,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,21,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,5,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,20,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,8,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,11,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,14,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,3,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,6,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,23,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,6,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,4,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],,6,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],,11,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],,20,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],,6,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],,13,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,9,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,6,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,4,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,13,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,11,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,11,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,13,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,17,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,23,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,8,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,6,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,8,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,11,1,1,1,1,1,1,1,1,1,1,1,1
