random_seed,fold,threshold,roc_auc,n_neighbors,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.9777777777777777,6,1,1,1,1,1,1,1,1,1,1,1,0
3,1,[None],0.975,21,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.9875,5,1,1,1,1,1,1,1,1,1,0,1,1
9,0,[None],0.9874999999999999,20,1,1,1,1,1,1,1,1,0,1,1,1
9,1,[None],0.9930555555555556,8,1,1,1,1,1,1,1,1,0,0,1,1
9,2,[None],0.976388888888889,11,1,1,1,1,0,1,1,0,0,1,1,1
27,0,[None],0.9777777777777779,14,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.9791666666666666,3,1,1,1,1,0,1,1,1,0,1,1,1
27,2,[None],0.9680555555555556,6,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.9888888888888889,23,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.9722222222222222,6,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],0.9833333333333334,4,1,1,1,1,1,1,1,1,0,1,1,1
243,0,[None],0.9888888888888889,6,1,1,1,1,1,1,1,1,1,1,1,0
243,1,[None],0.976388888888889,11,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],0.9861111111111112,20,1,1,1,0,1,1,1,1,1,1,1,1
729,0,[None],0.975,6,1,1,1,1,1,1,1,1,1,1,1,0
729,1,[None],0.9791666666666667,13,1,1,1,1,0,1,1,1,1,1,1,1
729,2,[None],0.9736111111111112,9,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.9833333333333334,6,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],0.961111111111111,4,1,1,1,1,0,1,1,1,1,1,1,0
2187,2,[None],0.9750000000000001,13,1,1,1,1,0,1,1,0,0,1,0,1
6561,0,[None],0.9791666666666667,11,1,1,1,1,0,1,1,1,0,1,0,1
6561,1,[None],0.9611111111111111,11,1,1,1,1,0,1,1,1,1,1,1,0
6561,2,[None],0.9888888888888889,13,1,1,1,0,1,1,1,1,1,0,1,1
19683,0,[None],0.9902777777777778,17,1,1,0,0,1,1,1,1,0,1,1,1
19683,1,[None],0.9652777777777777,23,1,1,1,1,1,1,1,0,1,1,1,1
19683,2,[None],0.9833333333333333,8,1,1,1,0,0,1,1,1,1,0,1,1
59049,0,[None],0.9666666666666666,6,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],0.9986111111111112,8,1,1,1,1,1,1,1,1,1,0,1,1
59049,2,[None],0.9513888888888888,11,1,1,1,1,0,1,1,1,1,1,1,1
