random_seed,fold,threshold,roc_auc,C,gamma,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.8584710743801652,30.424293871729475,5247.564363846735,1,1,0,1,0,1,0,0,0,1,0,0
3,1,[None],0.9555785123966942,29.21453563905696,3663.618496300733,1,1,0,1,1,1,1,1,0,0,1,1
3,2,[None],0.7954545454545454,59.79003809111063,9218.742358043744,1,1,1,0,0,1,1,0,0,1,1,0
9,0,[None],0.9008264462809916,60.111541062819704,7080.725807153198,1,1,0,0,1,0,0,1,1,1,1,0
9,1,[None],0.746900826446281,72.96064487318857,6375.574749796385,1,1,0,1,0,1,0,1,0,1,1,1
9,2,[None],0.7840909090909092,70.68576369902733,7290.071707509157,1,1,1,0,0,1,0,1,0,0,1,0
27,0,[None],0.8925619834710743,0.5523111601485275,8154.614303002199,1,1,0,0,1,1,0,0,0,1,1,1
27,1,[None],0.8388429752066117,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,0,0,0,0,1,1
27,2,[None],0.7706611570247934,86.31035627721677,6232.981305945767,1,1,0,0,0,1,0,1,0,1,1,1
81,0,[None],0.8016528925619835,19.991591854972285,5142.6336033712605,1,1,0,0,1,1,0,0,0,0,1,0
81,1,[None],0.8068181818181819,11.959512634405575,7132.447900905472,1,1,1,1,0,1,1,1,0,1,1,1
81,2,[None],0.8460743801652892,82.87376804144202,3567.5333312605608,1,1,0,1,0,1,0,1,0,0,0,0
243,0,[None],0.8791322314049587,45.60705281470517,7851.759635412541,1,1,0,1,1,1,1,1,0,1,1,0
243,1,[None],0.8419421487603305,38.867790101219235,2713.4903906040563,1,1,0,1,1,1,0,1,0,0,1,1
243,2,[None],0.8037190082644627,37.45407443072437,9507.14306902773,1,1,1,1,0,1,0,1,0,0,1,0
729,0,[None],0.8409090909090909,5.8084554084587285,8661.761471131736,1,1,0,0,0,1,1,0,0,0,1,0
729,1,[None],0.893595041322314,8.849341355941744,1959.8287045931659,1,1,1,1,0,1,0,0,0,1,1,1
729,2,[None],0.8677685950413223,60.111541062819704,7080.725807153198,1,1,0,1,1,1,1,1,0,0,1,0
2187,0,[None],0.7303719008264462,96.95846581799307,7751.328256097864,1,1,1,1,1,0,1,1,1,0,1,1
2187,1,[None],0.9049586776859504,75.17864180300292,6382.566332972641,1,1,0,1,0,1,1,0,0,1,1,0
2187,2,[None],0.8946280991735537,68.42333422791305,4401.5249933807645,1,1,0,0,0,1,0,1,0,1,1,0
6561,0,[None],0.8305785123966942,15.601948442379607,1559.9452877625745,1,1,1,1,1,1,1,1,0,1,1,1
6561,1,[None],0.7944214876033058,88.05662888704549,4722.367007276153,1,1,0,0,1,1,0,1,0,1,1,1
6561,2,[None],0.8894628099173554,25.87807228200353,6625.222877287592,1,1,0,0,0,1,1,0,0,0,1,0
19683,0,[None],0.8243801652892563,73.19942098174633,5986.584882104518,1,1,0,1,0,1,0,0,0,1,1,1
19683,1,[None],0.8026859504132231,11.959512634405575,7132.447900905472,1,1,0,1,0,1,1,1,0,1,1,0
19683,2,[None],0.865702479338843,82.87376804144202,3567.5333312605608,1,1,1,0,0,1,0,0,0,0,1,1
59049,0,[None],0.853305785123967,8.104397855740697,9868.74367673587,1,1,1,0,0,1,1,1,0,0,1,0
59049,1,[None],0.7479338842975207,30.424293871729475,5247.564363846735,1,1,1,1,1,1,1,0,0,0,1,0
59049,2,[None],0.8925619834710743,86.31035627721677,6232.981305945767,1,1,0,1,0,1,0,1,0,1,1,1
