random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.8739669421487604,5,26,0.27936781777237485,1,1,0,1,1,1,1,1,1,1,1,1
3,1,[None],0.9504132231404959,1,16,0.9491870819985118,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.9524793388429753,6,385,0.4943018007680264,1,1,1,1,1,1,1,1,1,1,0,1
9,0,[None],0.9473140495867769,6,86,0.06598654139229423,1,1,1,1,1,0,1,0,0,1,0,1
9,1,[None],0.9380165289256197,9,482,0.8085889507683447,1,1,1,1,0,1,1,1,0,1,1,0
9,2,[None],0.9070247933884298,2,20,0.476525444219346,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],0.9555785123966942,5,305,0.021970343994066725,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],0.9411157024793387,1,16,0.6367740008525166,1,1,1,0,1,1,0,1,1,1,1,1
27,2,[None],0.893595041322314,4,485,0.9624848476471691,1,1,1,1,1,1,1,1,1,0,1,0
81,0,[None],0.9462809917355373,1,410,0.9146485064494525,1,1,1,1,1,1,1,1,1,0,1,0
81,1,[None],0.90599173553719,3,19,0.609954769645917,1,1,1,1,0,1,1,1,1,1,1,1
81,2,[None],0.9049586776859504,1,407,0.7071504865037695,1,1,1,1,1,1,1,1,1,0,1,1
243,0,[None],0.9349173553719008,5,392,0.2004741083762014,1,1,1,1,1,1,1,1,1,0,1,1
243,1,[None],0.9452479338842975,1,433,0.6015138967314656,1,1,1,1,0,1,1,1,1,0,1,1
243,2,[None],0.8894628099173554,8,11,0.7712679635261867,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],0.9256198347107438,5,26,0.27936781777237485,1,1,1,1,1,1,1,1,1,0,1,1
729,1,[None],0.8925619834710743,6,78,0.15683852581586644,1,1,1,1,1,1,1,1,0,1,1,1
729,2,[None],0.9421487603305786,3,249,0.3015774315069529,1,1,1,1,1,1,1,1,1,1,1,0
2187,0,[None],0.8584710743801652,4,25,0.15479337763015233,1,1,1,0,1,1,1,1,0,1,1,1
2187,1,[None],0.9390495867768595,6,13,0.8497268593734331,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.956611570247934,1,407,1.0,1,1,1,0,0,1,1,1,1,0,1,0
6561,0,[None],0.9111570247933883,1,15,1.0,1,1,1,0,0,1,1,1,0,1,1,0
6561,1,[None],0.899793388429752,9,482,0.8085889507683447,1,1,1,1,0,1,1,1,1,0,0,1
6561,2,[None],0.9586776859504132,3,49,0.6845487934856448,1,1,1,1,1,1,1,1,0,1,0,0
19683,0,[None],0.9442148760330579,6,86,0.06598654139229423,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.8822314049586777,1,16,0.1665488971532128,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.9576446280991736,8,430,0.007945178400659513,1,1,1,1,1,1,1,0,1,0,0,1
59049,0,[None],0.9617768595041323,2,384,0.6472059605081456,1,1,1,0,1,1,1,1,1,1,1,1
59049,1,[None],0.9318181818181819,3,19,0.609954769645917,1,1,1,1,0,1,1,1,0,0,0,0
59049,2,[None],0.9121900826446281,2,23,0.3260050004325011,1,1,1,1,1,1,1,1,1,1,1,1
