random_seed,fold,threshold,roc_auc,n_neighbors,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.5430555555555556,27,1,1,1,1,1,1,1,0,1,1,1,1
3,1,[None],0.796398891966759,2,1,1,1,0,0,0,1,0,1,1,1,1
3,2,[None],0.5152354570637119,31,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],0.6472222222222223,3,1,1,1,1,0,1,1,0,1,1,1,1
9,1,[None],0.6066481994459834,22,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.590027700831025,9,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],0.7055555555555555,4,1,1,1,0,0,0,1,1,1,1,0,1
27,1,[None],0.6191135734072023,8,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.6551246537396123,11,1,1,1,1,1,1,1,0,1,1,1,1
81,0,[None],0.6458333333333334,29,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],0.6371191135734072,4,1,1,0,0,1,1,1,1,1,1,1,1
81,2,[None],0.5914127423822715,33,1,1,1,1,1,0,0,1,1,1,1,1
243,0,[None],0.6166666666666667,20,1,1,1,1,1,1,0,1,1,1,1,1
243,1,[None],0.6398891966759002,29,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],0.5872576177285319,9,1,1,0,1,1,1,1,1,1,1,1,1
729,0,[None],0.5180555555555555,9,1,1,1,1,1,1,0,1,1,1,1,1
729,1,[None],0.6662049861495845,2,1,1,1,0,0,1,1,0,1,1,1,1
729,2,[None],0.7576177285318559,6,1,1,0,0,0,0,1,1,0,1,1,1
2187,0,[None],0.601388888888889,20,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],0.5761772853185595,23,1,1,1,1,0,1,1,1,1,1,1,1
2187,2,[None],0.6842105263157895,1,1,1,1,0,0,1,1,1,1,0,1,0
6561,0,[None],0.5694444444444444,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],0.5775623268698061,4,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.6842105263157894,10,1,1,1,0,1,1,1,1,1,1,1,1
19683,0,[None],0.7444444444444445,1,1,1,1,1,0,0,1,1,1,1,1,1
19683,1,[None],0.6357340720221606,5,1,1,1,0,0,1,1,1,1,1,1,1
19683,2,[None],0.6163434903047091,22,1,1,1,1,1,1,1,1,1,1,1,0
59049,0,[None],0.6180555555555556,27,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],0.6121883656509695,6,1,1,0,1,1,0,1,1,0,1,1,1
59049,2,[None],0.775623268698061,4,1,1,0,0,0,1,1,1,1,1,0,1
