random_seed,fold,threshold,roc_auc,C,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.5836776859504132,95.07143556956098,1,1,1,0,0,0,0,1,0,0,1,0
3,1,[None],0.44938016528925623,9.767301633426985,1,1,1,1,1,0,0,1,1,1,0,1
3,2,[None],0.47520661157024796,15.601948442379607,1,1,1,1,1,1,1,1,1,0,1,1
9,0,[None],0.5836776859504131,1.1076078180894569,1,1,1,0,0,0,1,0,0,1,0,1
9,1,[None],0.609504132231405,15.601948442379607,1,1,1,0,0,1,1,0,0,0,1,0
9,2,[None],0.5847107438016529,95.07143556956098,1,1,0,0,1,0,0,1,0,1,1,0
27,0,[None],0.6239669421487604,0.16081610215721828,1,1,1,0,1,1,1,0,0,0,1,0
27,1,[None],0.6012396694214875,56.7535371482475,1,1,1,0,0,1,1,0,1,0,1,0
27,2,[None],0.6012396694214877,100.0,1,1,1,0,0,0,0,1,1,0,1,0
81,0,[None],0.5960743801652892,21.233989833916546,1,1,1,0,0,1,1,0,0,0,0,1
81,1,[None],0.4710743801652893,95.07143556956098,1,1,0,0,0,1,0,0,1,0,1,0
81,2,[None],0.609504132231405,33.224121912944135,1,1,0,0,1,1,0,1,0,0,1,0
243,0,[None],0.631198347107438,0.5950066081890379,1,1,0,0,1,1,0,1,0,1,0,0
243,1,[None],0.5795454545454545,0.0001,1,1,1,0,1,0,1,1,0,0,1,0
243,2,[None],0.5165289256198347,2.459511161630555,1,1,1,0,1,1,1,1,0,0,1,1
729,0,[None],0.6239669421487604,1.5227824610548806,1,1,1,0,0,0,1,0,0,0,1,0
729,1,[None],0.4462809917355372,0.0001,1,1,1,0,0,0,0,1,0,0,1,0
729,2,[None],0.6828512396694214,11.170103212036214,1,1,1,1,1,1,1,1,1,0,1,1
2187,0,[None],0.609504132231405,15.601948442379607,1,1,1,1,1,1,1,1,0,1,1,0
2187,1,[None],0.5020661157024794,0.0524654429455265,1,1,0,1,1,0,0,0,1,1,1,0
2187,2,[None],0.5712809917355371,1.5260624893100811,1,1,1,0,1,1,0,1,1,0,0,1
6561,0,[None],0.6332644628099173,25.87807228200353,1,1,0,1,1,1,1,1,1,0,1,1
6561,1,[None],0.6219008264462811,95.07143556956098,0,1,1,0,1,0,0,0,1,0,1,0
6561,2,[None],0.6549586776859504,52.475690687580624,1,1,1,1,0,1,0,1,0,1,1,0
19683,0,[None],0.5072314049586777,3.4389486726697283,1,1,1,1,1,1,0,0,1,0,1,0
19683,1,[None],0.5898760330578512,1.3404365676197436,1,1,1,1,0,1,1,1,1,0,1,1
19683,2,[None],0.5991735537190084,95.07143556956098,0,1,0,0,0,0,1,1,0,0,1,1
59049,0,[None],0.7128099173553719,78.51761762170523,1,1,1,0,0,0,1,1,0,0,1,0
59049,1,[None],0.628099173553719,95.07143556956098,1,1,0,0,0,1,1,0,0,0,1,0
59049,2,[None],0.5423553719008265,0.0001,1,1,1,0,0,1,1,1,1,0,1,0
