random_seed,fold,threshold,roc_auc,C,gamma,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.6694444444444445,0.5523111601485275,8154.614303002199,1,1,0,1,1,1,1,0,0,0,1,1
3,1,[None],0.610803324099723,35.84663700785441,1158.6906836643911,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.7908587257617729,0.5523111601485275,8154.614303002199,1,1,1,1,1,0,0,1,1,0,1,0
9,0,[None],0.7166666666666667,76.07852878318488,5612.772019567243,1,1,1,1,1,1,1,1,1,0,1,0
9,1,[None],0.7174515235457064,0.5523111601485275,8154.614303002199,1,1,1,1,1,0,1,1,1,1,1,1
9,2,[None],0.907202216066482,33.089869395462436,635.5835965044014,1,1,0,1,0,1,0,1,1,0,1,1
27,0,[None],0.6569444444444444,43.194558669709714,2912.2914728575056,1,1,1,0,0,0,0,1,0,0,1,1
27,1,[None],0.8393351800554018,4.522824368324915,3253.3033750996105,1,1,0,1,1,0,0,1,1,0,1,0
27,2,[None],0.6911357340720221,38.867790101219235,2713.4903906040563,1,1,0,1,0,0,1,1,0,1,1,1
81,0,[None],0.7986111111111112,7.455156912912714,9868.86936731648,1,1,0,1,1,1,1,1,1,0,1,1
81,1,[None],0.6786703601108034,0.0001,8154.6076461004295,1,1,1,1,1,1,0,1,1,0,1,0
81,2,[None],0.850415512465374,8.405562240222453,1959.7057037912648,1,1,1,0,0,0,0,1,1,1,1,1
243,0,[None],0.7236111111111111,74.91461624780466,9564.469115609645,1,1,1,1,1,1,0,1,1,0,1,0
243,1,[None],0.7299168975069252,31.098301073334046,3251.833287749139,1,1,0,0,0,1,0,1,0,1,1,0
243,2,[None],0.868421052631579,0.5523111601485275,8154.614303002199,1,1,1,1,0,1,0,1,0,0,1,1
729,0,[None],0.7236111111111111,59.469700395954646,1395.120778962393,1,1,1,0,1,0,1,1,1,0,1,1
729,1,[None],0.8324099722991689,81.10224998593304,3440.5460788670343,1,1,1,0,1,1,1,0,0,0,1,1
729,2,[None],0.5443213296398892,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,0,1,1,1,1,1
2187,0,[None],0.49027777777777776,6.505252793368653,9488.855377644779,1,1,1,1,0,1,0,1,1,1,1,1
2187,1,[None],0.6897506925207757,0.28852106446413733,8153.90389999667,1,1,1,1,1,0,1,1,1,1,1,1
2187,2,[None],0.7063711911357341,52.27333066491647,4275.410240831395,1,1,1,1,1,1,0,1,1,0,1,0
6561,0,[None],0.601388888888889,18.182578538213342,1834.0451801938873,1,1,1,1,1,1,0,1,1,1,1,1
6561,1,[None],0.6551246537396122,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.8213296398891966,96.56320674425262,8083.973500324877,1,1,0,1,0,1,1,1,0,0,1,1
19683,0,[None],0.8458333333333332,30.424293871729475,5247.564363846735,1,1,1,1,1,1,0,1,1,0,1,1
19683,1,[None],0.8337950138504155,0.5523111601485275,8154.614303002199,1,1,1,0,1,1,1,1,0,0,1,0
19683,2,[None],0.817174515235457,79.78553480947389,8561.765264185211,1,1,0,1,1,1,0,1,1,0,1,0
59049,0,[None],0.7388888888888889,37.45407443072437,9507.14306902773,1,1,1,1,1,1,0,1,1,0,1,0
59049,1,[None],0.5844875346260389,76.07852878318488,5612.772019567243,1,1,0,1,1,0,0,1,1,1,1,1
59049,2,[None],0.7437673130193906,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,0
