random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.7069444444444445,1,454,0.2595212016184169,1,1,1,1,0,1,1,1,1,1,1,1
3,1,[None],0.590027700831025,6,86,0.06598654139229423,1,1,1,1,0,0,1,1,1,1,1,1
3,2,[None],0.46537396121883656,6,28,0.28196084649291275,1,1,1,1,0,1,0,1,0,1,1,1
9,0,[None],0.5513888888888888,2,401,0.07547609303609105,1,1,1,1,0,1,1,1,1,1,1,1
9,1,[None],0.6218836565096952,2,160,1.0,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.5484764542936289,5,93,0.969615043136794,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],0.6222222222222222,4,61,0.49568173320115894,1,1,1,1,0,1,1,1,1,0,1,1
27,1,[None],0.6398891966759003,6,86,0.06598654139229423,1,1,1,1,0,1,1,1,1,1,1,1
27,2,[None],0.7022160664819945,1,16,0.6367740008525166,1,1,1,1,0,0,1,1,1,1,1,1
81,0,[None],0.6722222222222222,2,18,0.6359507276476342,1,1,1,1,0,1,0,1,1,1,1,0
81,1,[None],0.5470914127423823,6,385,0.4943018007680264,1,1,1,1,1,1,1,1,0,1,1,1
81,2,[None],0.5817174515235457,1,454,0.3133796936540666,1,1,1,1,1,0,1,1,0,0,1,1
243,0,[None],0.5361111111111111,8,106,0.18264314223989353,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.4958448753462603,5,296,0.047403962307277725,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],0.5955678670360112,9,429,0.001,1,1,1,1,1,0,1,1,1,1,1,1
729,0,[None],0.5930555555555556,1,432,1.0,1,1,1,1,1,1,1,1,0,1,1,1
729,1,[None],0.7562326869806094,8,384,0.001,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],0.664819944598338,8,385,0.001,1,1,1,1,0,1,1,1,0,1,1,1
2187,0,[None],0.6819444444444445,4,475,0.7322619478695936,1,1,1,1,1,1,1,1,0,1,1,1
2187,1,[None],0.6509695290858726,9,479,1.0,1,1,1,1,0,1,0,1,1,1,1,0
2187,2,[None],0.6191135734072022,7,385,0.07497060708235627,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],0.7069444444444444,2,17,0.682089682439923,1,1,1,1,1,1,1,1,0,1,1,1
6561,1,[None],0.6094182825484764,4,146,0.612241041827657,1,1,1,1,0,1,1,1,1,1,1,1
6561,2,[None],0.5457063711911357,5,214,0.026393707617351093,1,1,1,1,1,1,1,1,1,0,1,1
19683,0,[None],0.7486111111111111,5,93,0.969615043136794,1,1,1,1,1,1,1,1,0,1,1,1
19683,1,[None],0.5969529085872577,1,16,0.2562951955407753,1,1,1,1,0,0,1,1,0,1,1,1
19683,2,[None],0.6246537396121883,3,19,0.6413738145473422,1,1,1,1,1,1,0,1,1,1,1,0
59049,0,[None],0.5972222222222222,1,115,0.2903267796098698,1,1,1,1,0,1,1,1,0,0,1,1
59049,1,[None],0.6509695290858726,10,428,0.001,1,1,1,1,1,1,1,1,0,1,1,1
59049,2,[None],0.6412742382271468,2,356,0.7610242635682806,1,1,1,1,0,1,1,1,1,1,1,0
