task,dimension,y_label,model_type,model_index,random_seed_test,fusion,roc_auc_dev,accuracy_dev,f1_dev,recall_dev,precision_dev,norm_expected_cost_dev,norm_cross_entropy_dev,roc_auc_holdout,accuracy_holdout,f1_holdout,recall_holdout,precision_holdout,norm_expected_cost_holdout,norm_cross_entropy_holdout
craft,composite,group,knnc,120,,single dimension,"0.77868, (0.61586, 0.88795)","0.72045, (0.58636, 0.82273)","0.71594, (0.54909, 0.83372)","0.70455, (0.50468, 0.86002)","0.72770, (0.51615, 0.87387)","0.55909, (0.22583, 0.80556)","0.90449, (0.83748, 0.96710)",,,,,,,
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,431.0,,early_fusion,"0.76349, (0.62186, 0.88051)","0.68636, (0.54778, 0.80227)","0.68778, (0.53577, 0.82559)","0.69091, (0.48973, 0.85714)","0.68468, (0.48319, 0.83964)","0.62727, (0.31170, 0.88563)","0.94723, (0.89998, 0.97741)","0.92857, (0.65572, 1.00000)","0.80000, (0.53333, 0.93333)","0.80000, (0.44444, 0.94737)","0.75000, (0.33333, 1.00000)","0.85714, (0.38816, 1.00000)","0.42857, (0.00000, 1.20000)","0.91252, (0.85076, 0.97100)"
lamina2,composite,group,knnc,121,,single dimension,"0.68337, (0.53094, 0.80718)","0.64545, (0.52273, 0.75552)","0.62500, (0.46376, 0.76964)","0.59091, (0.40537, 0.76364)","0.66327, (0.45688, 0.82377)","0.70909, (0.39935, 0.92092)","0.93263, (0.84778, 1.01541)",,,,,,,
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,261.0,,early_fusion,"0.75988, (0.60259, 0.87033)","0.70000, (0.58172, 0.80909)","0.70136, (0.55708, 0.81841)","0.70455, (0.51835, 0.85245)","0.69820, (0.51666, 0.85058)","0.60000, (0.35207, 0.83158)","1.13164, (0.74415, 1.68283)","0.62500, (0.22222, 0.93360)","0.73333, (0.46667, 0.93333)","0.75000, (0.44444, 0.94118)","0.75000, (0.33333, 1.00000)","0.75000, (0.37149, 1.00000)","0.57143, (0.00000, 1.20000)","1.61602, (0.56202, 3.25228)"
fugu,composite,group,knnc,93,,single dimension,"0.68994, (0.53956, 0.82761)","0.63636, (0.50648, 0.75909)","0.55307, (0.35673, 0.72083)","0.45000, (0.25575, 0.65347)","0.71739, (0.44678, 0.89552)","0.72727, (0.41643, 0.95714)","0.92864, (0.82572, 1.03445)",,,,,,,
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,104,,early_fusion,"0.75150, (0.61144, 0.85837)","0.59773, (0.46818, 0.71784)","0.35165, (0.20603, 0.50446)","0.21818, (0.11666, 0.35000)","0.90566, (0.59712, 1.00000)","0.80455, (0.62091, 1.03889)","0.95392, (0.91228, 1.03279)","0.88393, (0.61607, 1.00000)","0.73333, (0.46667, 0.93333)","0.66667, (0.25000, 0.90909)","0.50000, (0.14286, 0.83333)","1.00000, (nan, nan)","0.57143, (0.14286, 1.60000)","0.90329, (0.80680, 1.19112)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,qda,213.0,,early_fusion,"0.69585, (0.55359, 0.80360)","0.68182, (0.55566, 0.77727)","0.70085, (0.56216, 0.81400)","0.74545, (0.58185, 0.85759)","0.66129, (0.48057, 0.81930)","0.63636, (0.36250, 0.86667)","1.81160, (1.22079, 2.56992)","0.52679, (0.18535, 0.82000)","0.60000, (0.33333, 0.80000)","0.57143, (0.20000, 0.84211)","0.50000, (0.14286, 0.83333)","0.66667, (0.22447, 1.00000)","0.85714, (0.28571, 1.75000)","2.36227, (1.01082, 4.34642)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,290,,early_fusion,"0.66958, (0.54031, 0.77338)","0.62500, (0.49858, 0.73837)","0.53521, (0.37406, 0.69080)","0.43182, (0.27459, 0.62008)","0.70370, (0.46305, 0.87955)","0.75000, (0.48389, 0.96667)","1.38621, (1.01447, 1.94955)","0.63393, (0.28960, 0.87500)","0.53333, (0.26667, 0.80000)","0.46154, (0.16019, 0.80000)","0.37500, (0.09091, 0.75000)","0.60000, (0.00000, 1.00000)","1.00000, (0.33333, 1.83333)","1.74015, (0.69736, 3.40082)"
craft__fugu__lamina2,composite,group,lr,440.0,,single dimension,"0.81690, (0.65550, 0.91201)","0.71591, (0.56136, 0.82045)","0.71396, (0.54252, 0.83581)","0.70909, (0.50549, 0.87329)","0.71889, (0.47000, 0.86606)","0.56818, (0.26695, 0.85500)","0.83864, (0.74895, 0.91100)",,,,,,,
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,384.0,,early_fusion,"0.81890, (0.66874, 0.90985)","0.75000, (0.64215, 0.84318)","0.73934, (0.60224, 0.84523)","0.70909, (0.55230, 0.84810)","0.77228, (0.58194, 0.89377)","0.50000, (0.23982, 0.69500)","0.92965, (0.89149, 0.96687)","0.85714, (0.53472, 1.00000)","0.80000, (0.53333, 0.93333)","0.76923, (0.35235, 0.94118)","0.62500, (0.20343, 0.88889)","1.00000, (nan, nan)","0.42857, (0.00000, 1.50000)","0.92332, (0.84218, 1.03672)"
