task,dimension,y_label,model_type,model_index,random_seed_test,fusion,roc_auc_dev,accuracy_dev,f1_dev,recall_dev,precision_dev,norm_expected_cost_dev,norm_cross_entropy_dev,roc_auc_holdout,accuracy_holdout,f1_holdout,recall_holdout,precision_holdout,norm_expected_cost_holdout,norm_cross_entropy_holdout
craft,composite,group,knnc,120,,single dimension,"0.77868, (0.61586, 0.88795)","0.72045, (0.58636, 0.82273)","0.71594, (0.54909, 0.83372)","0.70455, (0.50468, 0.86002)","0.72770, (0.51615, 0.87387)","0.55909, (0.22583, 0.80556)","0.90449, (0.83748, 0.96710)",,,,,,,
craft,composite,group,lr,141.0,,single dimension,"0.77862, (0.60668, 0.89666)","0.68864, (0.55000, 0.79587)","0.68793, (0.53262, 0.80929)","0.68636, (0.50855, 0.83190)","0.68950, (0.47908, 0.84647)","0.62273, (0.30574, 0.86957)","0.93377, (0.87605, 0.96998)",,,,,,,
craft,composite,group,qda,71.0,,single dimension,"0.76787, (0.58072, 0.89295)","0.69773, (0.54773, 0.82045)","0.68106, (0.51050, 0.83165)","0.64545, (0.45000, 0.84279)","0.72081, (0.48276, 0.88286)","0.60455, (0.21631, 0.89038)","0.83704, (0.64599, 1.08580)",,,,,,,
craft,composite,group,xgb,71.0,,single dimension,"0.75887, (0.59216, 0.88079)","0.74545, (0.60000, 0.85721)","0.74661, (0.58198, 0.87236)","0.75000, (0.53634, 0.90728)","0.74324, (0.53273, 0.89266)","0.50909, (0.21587, 0.76667)","0.93374, (0.59781, 1.39834)",,,,,,,
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,77,,early_fusion,"0.77784, (0.61602, 0.89384)","0.69091, (0.54969, 0.80455)","0.66829, (0.51642, 0.81787)","0.62273, (0.43212, 0.80889)","0.72105, (0.50461, 0.87944)","0.61818, (0.26463, 0.84588)","0.84630, (0.72470, 0.99222)","0.89286, (0.59838, 1.00000)","0.80000, (0.53333, 0.93333)","0.80000, (0.50000, 1.00000)","0.75000, (0.35186, 1.00000)","0.85714, (0.33333, 1.00000)","0.42857, (0.00000, 1.25000)","0.74874, (0.57307, 0.95408)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,431.0,,early_fusion,"0.76349, (0.62186, 0.88051)","0.68636, (0.54778, 0.80227)","0.68778, (0.53577, 0.82559)","0.69091, (0.48973, 0.85714)","0.68468, (0.48319, 0.83964)","0.62727, (0.31170, 0.88563)","0.94723, (0.89998, 0.97741)","0.92857, (0.65572, 1.00000)","0.80000, (0.53333, 0.93333)","0.80000, (0.44444, 0.94737)","0.75000, (0.33333, 1.00000)","0.85714, (0.38816, 1.00000)","0.42857, (0.00000, 1.20000)","0.91252, (0.85076, 0.97100)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,qda,328.0,,early_fusion,"0.68568, (0.56036, 0.77862)","0.65909, (0.55313, 0.74773)","0.65596, (0.51965, 0.76342)","0.65000, (0.50575, 0.78000)","0.66204, (0.47028, 0.80153)","0.68182, (0.44131, 0.86845)","2.03597, (1.46944, 2.69894)","0.71429, (0.41667, 0.92857)","0.66667, (0.40000, 0.86667)","0.61538, (0.25000, 0.90000)","0.50000, (0.16667, 0.87500)","0.80000, (0.00000, 1.00000)","0.71429, (0.14286, 1.50000)","1.70691, (0.51205, 3.61872)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,368.0,,early_fusion,"0.68791, (0.52811, 0.80894)","0.65909, (0.53197, 0.76136)","0.66814, (0.51135, 0.78822)","0.68636, (0.51551, 0.82867)","0.65086, (0.44463, 0.80744)","0.68182, (0.41190, 0.89504)","1.32035, (0.90216, 1.86290)","0.71429, (0.28075, 0.97919)","0.73333, (0.46667, 0.93333)","0.75000, (0.44777, 0.94293)","0.75000, (0.37500, 1.00000)","0.75000, (0.37500, 1.00000)","0.57143, (0.00000, 1.20000)","1.29651, (0.39494, 2.73890)"
lamina2,composite,group,knnc,121,,single dimension,"0.68337, (0.53094, 0.80718)","0.64545, (0.52273, 0.75552)","0.62500, (0.46376, 0.76964)","0.59091, (0.40537, 0.76364)","0.66327, (0.45688, 0.82377)","0.70909, (0.39935, 0.92092)","0.93263, (0.84778, 1.01541)",,,,,,,
lamina2,composite,group,lr,142.0,,single dimension,"0.68231, (0.51339, 0.82022)","0.62955, (0.49091, 0.75455)","0.63371, (0.44862, 0.76641)","0.64091, (0.42583, 0.81270)","0.62667, (0.42010, 0.79965)","0.74091, (0.39524, 0.98947)","0.95311, (0.89797, 0.99833)",,,,,,,
lamina2,composite,group,qda,73.0,,single dimension,"0.61711, (0.45777, 0.77101)","0.54318, (0.41136, 0.67014)","0.49624, (0.30881, 0.66966)","0.45000, (0.25238, 0.65225)","0.55307, (0.33281, 0.74921)","0.91364, (0.53261, 1.16487)","0.98001, (0.82381, 1.17739)",,,,,,,
lamina2,composite,group,xgb,38.0,,single dimension,"0.61372, (0.47812, 0.74000)","0.59545, (0.48182, 0.69318)","0.58605, (0.43551, 0.71612)","0.57273, (0.41659, 0.73500)","0.60000, (0.39891, 0.76282)","0.80909, (0.50464, 0.98928)","1.46156, (1.07791, 1.93858)",,,,,,,
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,331,,early_fusion,"0.73000, (0.60135, 0.83731)","0.67273, (0.57273, 0.77045)","0.62500, (0.48958, 0.75145)","0.54545, (0.40556, 0.69163)","0.73171, (0.51108, 0.87561)","0.65455, (0.41243, 0.85076)","0.92411, (0.86180, 0.97420)","0.71429, (0.32325, 0.96090)","0.53333, (0.26667, 0.73333)","0.46154, (0.14286, 0.76923)","0.37500, (0.00000, 0.75000)","0.60000, (0.00000, 1.00000)","1.00000, (0.33492, 1.80000)","0.94157, (0.81835, 1.07136)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,203.0,,early_fusion,"0.72512, (0.56431, 0.84272)","0.64091, (0.50575, 0.74545)","0.64414, (0.48777, 0.77711)","0.65000, (0.47229, 0.81309)","0.63839, (0.42965, 0.79665)","0.71818, (0.43726, 0.94980)","1.13713, (0.79785, 1.64819)","0.39286, (0.12000, 0.74063)","0.40000, (0.13401, 0.66667)","0.30769, (0.00000, 0.70588)","0.25000, (0.00000, 0.66667)","0.40000, (0.00000, 1.00000)","1.28571, (0.50000, 2.00000)","2.11295, (1.14342, 3.55889)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,qda,227.0,,early_fusion,"0.60895, (0.49365, 0.70340)","0.59773, (0.49545, 0.68636)","0.61605, (0.47555, 0.73729)","0.64545, (0.48421, 0.79091)","0.58921, (0.42852, 0.75952)","0.80455, (0.48615, 0.96111)","2.49366, (1.86360, 3.14961)","0.44643, (0.19643, 0.74913)","0.40000, (0.20000, 0.66667)","0.47059, (0.15385, 0.75000)","0.50000, (0.12500, 0.83333)","0.44444, (0.14286, 0.81818)","1.28571, (0.57143, 2.00000)","3.40772, (1.63264, 5.04164)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,261.0,,early_fusion,"0.75988, (0.60259, 0.87033)","0.70000, (0.58172, 0.80909)","0.70136, (0.55708, 0.81841)","0.70455, (0.51835, 0.85245)","0.69820, (0.51666, 0.85058)","0.60000, (0.35207, 0.83158)","1.13164, (0.74415, 1.68283)","0.62500, (0.22222, 0.93360)","0.73333, (0.46667, 0.93333)","0.75000, (0.44444, 0.94118)","0.75000, (0.33333, 1.00000)","0.75000, (0.37149, 1.00000)","0.57143, (0.00000, 1.20000)","1.61602, (0.56202, 3.25228)"
fugu,composite,group,knnc,93,,single dimension,"0.68994, (0.53956, 0.82761)","0.63636, (0.50648, 0.75909)","0.55307, (0.35673, 0.72083)","0.45000, (0.25575, 0.65347)","0.71739, (0.44678, 0.89552)","0.72727, (0.41643, 0.95714)","0.92864, (0.82572, 1.03445)",,,,,,,
fugu,composite,group,lr,33.0,,single dimension,"0.69775, (0.51175, 0.82709)","0.65682, (0.50909, 0.76962)","0.64303, (0.46337, 0.78276)","0.61818, (0.41479, 0.80416)","0.66995, (0.43583, 0.84625)","0.68636, (0.40030, 0.94106)","0.92665, (0.75433, 1.16132)",,,,,,,
fugu,composite,group,qda,2.0,,single dimension,"0.69151, (0.52461, 0.82981)","0.65227, (0.51758, 0.77045)","0.62035, (0.43887, 0.77336)","0.56818, (0.36473, 0.76127)","0.68306, (0.43911, 0.85864)","0.69545, (0.37615, 0.95000)","0.86601, (0.70230, 1.01388)",,,,,,,
