task,dimension,y_label,model_type,model_index,random_seed_test,fusion,roc_auc_dev,accuracy_dev,f1_dev,recall_dev,precision_dev,norm_expected_cost_dev,norm_cross_entropy_dev
craft,composite,group,knnc,0,,single dimension,"0.48777, (0.44148, 0.52619)","0.49432, (0.45418, 0.53027)","0.52058, (0.46455, 0.56474)","0.54909, (0.50359, 0.59470)","0.49488, (0.42118, 0.55840)","1.01136, (0.90379, 1.06316)","1.01217, (0.99982, 1.02481)"
craft,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,0,,early_fusion,"0.46459, (0.43050, 0.49542)","0.46386, (0.43859, 0.48455)","0.46129, (0.41662, 0.49426)","0.45909, (0.43379, 0.48305)","0.46352, (0.39731, 0.51880)","1.07227, (0.99602, 1.09860)","1.00506, (1.00052, 1.00920)"
lamina2,composite,group,knnc,0,,single dimension,"0.48012, (0.43846, 0.52532)","0.48818, (0.45622, 0.52386)","0.49597, (0.45430, 0.54549)","0.50364, (0.46242, 0.55058)","0.48854, (0.42588, 0.54487)","1.02364, (0.91915, 1.07453)","1.01195, (0.99874, 1.02228)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,0,,early_fusion,"0.48330, (0.43555, 0.52168)","0.49000, (0.45204, 0.52114)","0.48930, (0.43520, 0.53391)","0.48864, (0.43177, 0.53351)","0.48997, (0.42283, 0.55073)","1.02000, (0.94919, 1.07468)","1.78633, (1.64810, 1.94198)"
fugu,composite,group,knnc,0,,single dimension,"0.49976, (0.45958, 0.54227)","0.51023, (0.47372, 0.54556)","0.54295, (0.49319, 0.58524)","0.58182, (0.53748, 0.62882)","0.50895, (0.44447, 0.56348)","0.97955, (0.88438, 1.03582)","1.02297, (1.00327, 1.04183)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,0,,early_fusion,"0.47457, (0.43813, 0.51147)","0.48591, (0.45659, 0.51768)","0.53264, (0.48870, 0.57277)","0.58591, (0.55199, 0.62389)","0.48826, (0.42796, 0.53816)","1.02818, (0.95164, 1.07479)","1.01729, (1.00405, 1.02853)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,qda,0,,early_fusion,"0.55058, (0.49627, 0.59042)","0.54659, (0.50365, 0.57926)","0.54064, (0.48451, 0.58561)","0.53364, (0.47861, 0.58340)","0.54783, (0.47516, 0.60942)","0.90682, (0.82170, 0.96711)","2.44983, (2.21666, 2.74874)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,0,,early_fusion,"0.46329, (0.41448, 0.51275)","0.47182, (0.43432, 0.51369)","0.51320, (0.45962, 0.56481)","0.55682, (0.50188, 0.61583)","0.47591, (0.41723, 0.53381)","1.05636, (0.95730, 1.11451)","1.03376, (1.01108, 1.05451)"
craft__fugu__lamina2,composite,group,lr,0,,single dimension,"0.50011, (0.46047, 0.53552)","0.49659, (0.46341, 0.52341)","0.49418, (0.44967, 0.53512)","0.49182, (0.44735, 0.52859)","0.49656, (0.43167, 0.55729)","1.00682, (0.94250, 1.04766)","1.01356, (1.00036, 1.02707)"
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,0,,early_fusion,"0.46761, (0.42963, 0.50517)","0.47523, (0.44409, 0.50720)","0.47487, (0.42865, 0.52147)","0.47455, (0.42216, 0.52587)","0.47519, (0.41201, 0.53985)","1.04955, (0.97657, 1.09486)","1.02252, (1.00954, 1.04302)"
dia_tipico__recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,0,,early_fusion,"0.49537, (0.45427, 0.54492)","0.49045, (0.45591, 0.52661)","0.53194, (0.48669, 0.57459)","0.57909, (0.54326, 0.62753)","0.49189, (0.43281, 0.54737)","1.01909, (0.93068, 1.06859)","1.03408, (1.00663, 1.05840)"
