C,random_state,craft__composite__speech_timing,craft__composite__text_level,craft__composite__word_level
1.0,42.0,0,1,0
1.0,42.0,1,0,0
1.0,42.0,1,1,0
1.0,42.0,1,1,1
1.0,42.0,0,0,1
1.0,42.0,1,0,1
1.0,42.0,0,1,1
0.001,42.0,0,1,0
0.001,42.0,1,0,0
0.001,42.0,1,1,0
0.001,42.0,1,1,1
0.001,42.0,0,0,1
0.001,42.0,1,0,1
0.001,42.0,0,1,1
0.8,42.0,0,1,0
0.8,42.0,1,0,0
0.8,42.0,1,1,0
0.8,42.0,1,1,1
0.8,42.0,0,0,1
0.8,42.0,1,0,1
0.8,42.0,0,1,1
0.004,42.0,0,1,0
0.004,42.0,1,0,0
0.004,42.0,1,1,0
0.004,42.0,1,1,1
0.004,42.0,0,0,1
0.004,42.0,1,0,1
0.004,42.0,0,1,1
50.0,42.0,0,1,0
50.0,42.0,1,0,0
50.0,42.0,1,1,0
50.0,42.0,1,1,1
50.0,42.0,0,0,1
50.0,42.0,1,0,1
50.0,42.0,0,1,1
0.002,42.0,0,1,0
0.002,42.0,1,0,0
0.002,42.0,1,1,0
0.002,42.0,1,1,1
0.002,42.0,0,0,1
0.002,42.0,1,0,1
0.002,42.0,0,1,1
0.008,42.0,0,1,0
0.008,42.0,1,0,0
0.008,42.0,1,1,0
0.008,42.0,1,1,1
0.008,42.0,0,0,1
0.008,42.0,1,0,1
0.008,42.0,0,1,1
0.003,42.0,0,1,0
0.003,42.0,1,0,0
0.003,42.0,1,1,0
0.003,42.0,1,1,1
0.003,42.0,0,0,1
0.003,42.0,1,0,1
0.003,42.0,0,1,1
10.0,42.0,0,1,0
10.0,42.0,1,0,0
10.0,42.0,1,1,0
10.0,42.0,1,1,1
10.0,42.0,0,0,1
10.0,42.0,1,0,1
10.0,42.0,0,1,1
6.0,42.0,0,1,0
6.0,42.0,1,0,0
6.0,42.0,1,1,0
6.0,42.0,1,1,1
6.0,42.0,0,0,1
6.0,42.0,1,0,1
6.0,42.0,0,1,1
20.0,42.0,0,1,0
20.0,42.0,1,0,0
20.0,42.0,1,1,0
20.0,42.0,1,1,1
20.0,42.0,0,0,1
20.0,42.0,1,0,1
20.0,42.0,0,1,1
0.006,42.0,0,1,0
0.006,42.0,1,0,0
0.006,42.0,1,1,0
0.006,42.0,1,1,1
0.006,42.0,0,0,1
0.006,42.0,1,0,1
0.006,42.0,0,1,1
0.03,42.0,0,1,0
0.03,42.0,1,0,0
0.03,42.0,1,1,0
0.03,42.0,1,1,1
0.03,42.0,0,0,1
0.03,42.0,1,0,1
0.03,42.0,0,1,1
4.0,42.0,0,1,0
4.0,42.0,1,0,0
4.0,42.0,1,1,0
4.0,42.0,1,1,1
4.0,42.0,0,0,1
4.0,42.0,1,0,1
4.0,42.0,0,1,1
2.0,42.0,0,1,0
2.0,42.0,1,0,0
2.0,42.0,1,1,0
2.0,42.0,1,1,1
2.0,42.0,0,0,1
2.0,42.0,1,0,1
2.0,42.0,0,1,1
40.0,42.0,0,1,0
40.0,42.0,1,0,0
40.0,42.0,1,1,0
40.0,42.0,1,1,1
40.0,42.0,0,0,1
40.0,42.0,1,0,1
40.0,42.0,0,1,1
60.0,42.0,0,1,0
60.0,42.0,1,0,0
60.0,42.0,1,1,0
60.0,42.0,1,1,1
60.0,42.0,0,0,1
60.0,42.0,1,0,1
60.0,42.0,0,1,1
70.0,42.0,0,1,0
70.0,42.0,1,0,0
70.0,42.0,1,1,0
70.0,42.0,1,1,1
70.0,42.0,0,0,1
70.0,42.0,1,0,1
70.0,42.0,0,1,1
0.02,42.0,0,1,0
0.02,42.0,1,0,0
0.02,42.0,1,1,0
0.02,42.0,1,1,1
0.02,42.0,0,0,1
0.02,42.0,1,0,1
0.02,42.0,0,1,1
0.01,42.0,0,1,0
0.01,42.0,1,0,0
0.01,42.0,1,1,0
0.01,42.0,1,1,1
0.01,42.0,0,0,1
0.01,42.0,1,0,1
0.01,42.0,0,1,1
0.05,42.0,0,1,0
0.05,42.0,1,0,0
0.05,42.0,1,1,0
0.05,42.0,1,1,1
0.05,42.0,0,0,1
0.05,42.0,1,0,1
0.05,42.0,0,1,1
