random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,craft__word_properties__granularity_mean,craft__word_properties__concreteness_mean,craft__word_properties__log_frq_mean,craft__word_properties__num_phonemes_mean,craft__word_properties__num_syll_mean,craft__word_properties__phon_neigh_mean,craft__mlu__sentence_count,craft__mlu__mlu,craft__universal_dependencies__core_norm,craft__universal_dependencies__non-core_norm,craft__universal_dependencies__nominal_norm,craft__universal_dependencies__non-dependency_norm,craft__verbosity__word_count,craft__verbosity__mattr_all,craft__verbosity__noun_count,craft__verbosity__verb_count,craft__verbosity__adj_count,craft__verbosity__adv_count,craft__verbosity__ratio_noun_over_total,craft__verbosity__ratio_verb_over_total,craft__verbosity__ratio_adj_over_total,craft__verbosity__ratio_adv_over_total,craft__talking_intervals__nsyll,craft__talking_intervals__npauses,craft__talking_intervals__speechrate,craft__talking_intervals__syllable_duration_mean,craft__talking_intervals__pause_duration_mean
3,0,[None],0.7026143790849673,7,11,0.9699399423098324,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
3,1,[None],0.8202614379084967,2,23,0.3260050004325011,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
3,2,[None],0.8366013071895425,1,455,0.16714329639492095,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0
3,3,[None],0.7467320261437909,4,417,0.8741447326053201,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1
3,4,[None],0.8086419753086419,5,93,0.9526445086743037,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
9,0,[None],0.6372549019607843,7,182,0.8123766227422988,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
9,1,[None],0.7467320261437909,6,78,0.15683852581586644,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.8169934640522876,7,480,1.0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,3,[None],0.8006535947712419,2,23,0.07079453986910011,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
9,4,[None],0.8703703703703703,4,61,0.49568173320115894,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0
27,0,[None],0.8235294117647058,6,86,0.06598654139229423,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
27,1,[None],0.7418300653594772,2,440,0.9295875256463038,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
27,2,[None],0.7973856209150327,6,86,0.06598654139229423,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0
27,3,[None],0.7647058823529412,2,5,1.0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
27,4,[None],0.6481481481481483,1,463,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.6503267973856209,7,469,0.8949325230772212,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
81,1,[None],0.5816993464052287,9,16,0.5373219683626164,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
81,2,[None],0.7189542483660131,7,182,0.8153683761608911,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1
81,3,[None],0.8398692810457516,2,152,0.5915605487429219,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
81,4,[None],0.8240740740740741,1,454,0.2595212016184169,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
243,0,[None],0.6372549019607843,7,469,0.8949325230772212,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.6928104575163399,8,53,0.9004815560197071,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1
243,2,[None],0.7107843137254901,6,93,0.9999806699058342,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
243,3,[None],0.8267973856209151,6,86,0.05189352660424065,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
243,4,[None],0.8117283950617283,6,78,0.15683852581586644,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
729,0,[None],0.6372549019607843,7,469,0.8949325230772212,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
729,1,[None],0.7287581699346405,7,469,0.8949325230772212,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0
729,2,[None],0.8790849673202614,5,85,0.13572241032585736,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
729,3,[None],0.8627450980392157,1,448,0.008701232683735441,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,4,[None],0.8549382716049383,1,454,0.8339032578786281,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
2187,0,[None],0.9215686274509803,8,107,0.9142580859181875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
2187,1,[None],0.565359477124183,6,156,0.520547953156633,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.7712418300653595,1,433,0.6015138967314656,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
2187,3,[None],0.545751633986928,4,146,0.612241041827657,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,4,[None],0.8240740740740741,7,182,0.8214241500068045,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1
6561,0,[None],0.7287581699346405,7,11,0.9699399423098324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
6561,1,[None],0.7091503267973855,3,49,0.6845487934856448,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1
